filename,sample_ID,path,accession,study,biosample_accession,total_reads,total_bp,total_Gbp,min,max,mean,quartile_25,quartile_50,quartile_75,N25,N50,N75,library_ID,library_strategy,library_source,library_selection,library_layout,platform,instrument_model,design_description,data_type,shear_method,size_selection,DeepConsensus_version,polymerase_version,seq_plate_chemistry_version,generator_facility,generator_contact,notes,ccs_algorithm,MM_tag
m64136_211108_160613-bc1001.5mc.hifi_reads.bam,HG01261,s3://human-pangenomics/working/HPRC/HG01261/raw_data/PacBio_HiFi/m64136_211108_160613-bc1001.5mc.hifi_reads.bam,SRR23732278,SRP305758,SAMN33621946,1544394,32544026126,32.54,204.0,65223.0,21072,18129,19707,22728,18429,20313,24465,HG01261_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64136_211107_050725-bc1001.5mc.hifi_reads.bam,HG01261,s3://human-pangenomics/working/HPRC/HG01261/raw_data/PacBio_HiFi/m64136_211107_050725-bc1001.5mc.hifi_reads.bam,SRR23732278,SRP305758,SAMN33621946,1514497,32158315632,32.16,170.0,64761.0,21233,18194,19824,23063,18510,20474,24807,HG01261_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_211222_184851-bc1003.5mc.hifi_reads.bam,HG01975,s3://human-pangenomics/working/HPRC/HG01975/raw_data/PacBio_HiFi/m64043_211222_184851-bc1003.5mc.hifi_reads.bam,SRR23732277,SRP305758,SAMN33621947,295158,5813671901,5.81,811.0,67517.0,19696,17631,18899,20818,17814,19237,21478,HG01975_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_211114_112934-bc1003.5mc.hifi_reads.bam,HG01975,s3://human-pangenomics/working/HPRC/HG01975/raw_data/PacBio_HiFi/m64043_211114_112934-bc1003.5mc.hifi_reads.bam,SRR23732277,SRP305758,SAMN33621947,1841180,36273475358,36.27,142.0,61049.0,19701,17627,18908,20835,17814,19250,21498,HG01975_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_211113_003158-bc1003.5mc.hifi_reads.bam,HG01975,s3://human-pangenomics/working/HPRC/HG01975/raw_data/PacBio_HiFi/m64043_211113_003158-bc1003.5mc.hifi_reads.bam,SRR23732277,SRP305758,SAMN33621947,1897742,37414972875,37.41,230.0,58778.0,19715,17636,18916,20851,17823,19259,21526,HG01975_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_211115_222749-bc1003.5mc.hifi_reads.bam,HG01975,s3://human-pangenomics/working/HPRC/HG01975/raw_data/PacBio_HiFi/m64043_211115_222749-bc1003.5mc.hifi_reads.bam,SRR23732277,SRP305758,SAMN33621947,1481915,29243979674,29.24,818.0,60746.0,19733,17640,18930,20876,17828,19276,21558,HG01975_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_210905_032603-bc1022.5mc.hifi_reads.bam,HG02015,s3://human-pangenomics/working/HPRC/HG02015/raw_data/PacBio_HiFi/m64043_210905_032603-bc1022.5mc.hifi_reads.bam,SRR23732276,SRP305758,SAMN33621948,2027744,37828131839,37.83,76.0,48424.0,18655,16173,17620,20670,16432,18225,21552,HG02015_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_210901_164337-bc1022.5mc.hifi_reads.bam,HG02015,s3://human-pangenomics/working/HPRC/HG02015/raw_data/PacBio_HiFi/m64043_210901_164337-bc1022.5mc.hifi_reads.bam,SRR23732276,SRP305758,SAMN33621948,3075646,58139125879,58.14,51.0,373990.0,18903,15928,17686,21174,16510,18970,22812,HG02015_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_210903_163032-bc1022.5mc.hifi_reads.bam,HG02015,s3://human-pangenomics/working/HPRC/HG02015/raw_data/PacBio_HiFi/m64043_210903_163032-bc1022.5mc.hifi_reads.bam,SRR23732276,SRP305758,SAMN33621948,3865204,75027463744,75.03,51.0,388970.0,19410,16061,17931,21538,16688,19402,23437,HG02015_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64136_211120_043838-bc1009.5mc.hifi_reads.bam,HG02056,s3://human-pangenomics/working/HPRC/HG02056/raw_data/PacBio_HiFi/m64136_211120_043838-bc1009.5mc.hifi_reads.bam,SRR23732275,SRP305758,SAMN33621949,1369700,27141258277,27.14,116.0,50015.0,19815,17748,19225,21357,18068,19682,22217,HG02056_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64136_211118_185339-bc1009.5mc.hifi_reads.bam,HG02056,s3://human-pangenomics/working/HPRC/HG02056/raw_data/PacBio_HiFi/m64136_211118_185339-bc1009.5mc.hifi_reads.bam,SRR23732275,SRP305758,SAMN33621949,1468626,29158250441,29.16,122.0,51507.0,19854,17756,19247,21406,18083,19712,22301,HG02056_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64136_211121_153454-bc1009.5mc.hifi_reads.bam,HG02056,s3://human-pangenomics/working/HPRC/HG02056/raw_data/PacBio_HiFi/m64136_211121_153454-bc1009.5mc.hifi_reads.bam,SRR23732275,SRP305758,SAMN33621949,1434407,28490874747,28.49,199.0,55264.0,19862,17760,19254,21430,18090,19721,22333,HG02056_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_220114_181052-bc1009.5mc.hifi_reads.bam,HG02056,s3://human-pangenomics/working/HPRC/HG02056/raw_data/PacBio_HiFi/m64043_220114_181052-bc1009.5mc.hifi_reads.bam,SRR23732275,SRP305758,SAMN33621949,1407236,29056368441,29.06,276.0,62255.0,20647,17986,19880,23140,18454,20670,24438,HG02056_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64136_220422_181133-bc1001.5mc.hifi_reads.bam,HG02129,s3://human-pangenomics/working/HPRC/HG02129/raw_data/PacBio_HiFi/m64136_220422_181133-bc1001.5mc.hifi_reads.bam,SRR23732274,SRP305758,SAMN33621950,1943961,37306593554,37.31,139.0,65275.0,19191,16313,18805,20933,16939,19334,21674,HG02129_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64136_220424_050632-bc1001.5mc.hifi_reads.bam,HG02129,s3://human-pangenomics/working/HPRC/HG02129/raw_data/PacBio_HiFi/m64136_220424_050632-bc1001.5mc.hifi_reads.bam,SRR23732274,SRP305758,SAMN33621950,1668439,32061676319,32.06,95.0,56783.0,19216,16330,18825,20955,16979,19358,21704,HG02129_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64136_220426_155627-bc1001.5mc.hifi_reads.bam,HG02129,s3://human-pangenomics/working/HPRC/HG02129/raw_data/PacBio_HiFi/m64136_220426_155627-bc1001.5mc.hifi_reads.bam,SRR23732274,SRP305758,SAMN33621950,2179533,42004596679,42.0,61.0,61990.0,19272,16361,18861,21022,17036,19403,21791,HG02129_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_211220_160211-bc1011.5mc.hifi_reads.bam,HG02258,s3://human-pangenomics/working/HPRC/HG02258/raw_data/PacBio_HiFi/m64043_211220_160211-bc1011.5mc.hifi_reads.bam,SRR23732292,SRP305758,SAMN33621952,1948134,40089424862,40.09,100.0,50640.0,20578,18651,20107,22012,18894,20440,22488,HG02258_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_211219_050421-bc1011.5mc.hifi_reads.bam,HG02258,s3://human-pangenomics/working/HPRC/HG02258/raw_data/PacBio_HiFi/m64043_211219_050421-bc1011.5mc.hifi_reads.bam,SRR23732292,SRP305758,SAMN33621952,1746272,36007958539,36.01,203.0,53658.0,20619,18671,20138,22062,18916,20475,22548,HG02258_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_220114_181052-bc1011.5mc.hifi_reads.bam,HG02258,s3://human-pangenomics/working/HPRC/HG02258/raw_data/PacBio_HiFi/m64043_220114_181052-bc1011.5mc.hifi_reads.bam,SRR23732292,SRP305758,SAMN33621952,333250,6878212374,6.88,217.0,47039.0,20639,18686,20163,22078,18935,20497,22571,HG02258_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_211217_180919-bc1011.5mc.hifi_reads.bam,HG02258,s3://human-pangenomics/working/HPRC/HG02258/raw_data/PacBio_HiFi/m64043_211217_180919-bc1011.5mc.hifi_reads.bam,SRR23732292,SRP305758,SAMN33621952,1471798,30383642106,30.38,61.0,53399.0,20643,18701,20169,22088,18946,20502,22571,HG02258_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_220110_170603-bc1012.5mc.hifi_reads.bam,HG03834,s3://human-pangenomics/working/HPRC/HG03834/raw_data/PacBio_HiFi/m64043_220110_170603-bc1012.5mc.hifi_reads.bam,SRR23732286,SRP305758,SAMN33621958,1841790,38424503061,38.42,124.0,62573.0,20862,18833,20288,22289,19071,20638,22829,HG03834_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_220109_060731-bc1012.5mc.hifi_reads.bam,HG03834,s3://human-pangenomics/working/HPRC/HG03834/raw_data/PacBio_HiFi/m64043_220109_060731-bc1012.5mc.hifi_reads.bam,SRR23732286,SRP305758,SAMN33621958,1927254,40253924320,40.25,365.0,58988.0,20886,18844,20303,22326,19083,20657,22877,HG03834_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_220107_191226-bc1012.5mc.hifi_reads.bam,HG03834,s3://human-pangenomics/working/HPRC/HG03834/raw_data/PacBio_HiFi/m64043_220107_191226-bc1012.5mc.hifi_reads.bam,SRR23732286,SRP305758,SAMN33621958,1829039,38210943876,38.21,123.0,62493.0,20891,18853,20313,22331,19092,20668,22878,HG03834_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
