path,sample_id,total_reads,filename,title,study,bioproject_accession,accession,biosample_accession,library_id,data_type,filetype,cell_type,generator_facility,production,iso_filename,platform_unit_1,platform_unit_2,barcode,basecalling_version,platform,instrument_model,iso_library_id,ccs_algorithm,pbtrim_version,jasmine_version,lima_version,refine_version,library_strategy,library_source,library_selection,library_layout,shear_method,size_selection,design_description,polymerase_version,seq_plate_chemistry_version,pool,ntsm_score,similarity,check-flnc reads,generator_contact
s3://human-pangenomics/working/HPRC/HG00741/raw_data/PacBio_Kinnex/HG00741.lymph.m84046_240713_071511_s3.flnc.bam,HG00741,5135903,HG00741.lymph.m84046_240713_071511_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00741.lymph.m84046_240713_071511_s3,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-3.bam,m84046_240713_071511_s3,NA,bc03,5,PACBIO,REVIO,HPRC_Pool002.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool002.KN,0.22742,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG00741/raw_data/PacBio_Kinnex/HG00741.lymph.m84046_240717_105141_s2.flnc.bam,HG00741,5043621,HG00741.lymph.m84046_240717_105141_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00741.lymph.m84046_240717_105141_s2,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-3.bam,m84046_240717_105141_s2,NA,bc03,5,PACBIO,REVIO,HPRC_Pool002.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool002.KN,0.239632,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG01071/raw_data/PacBio_Kinnex/HG01071.lymph.m84046_240713_071511_s3.flnc.bam,HG01071,7480219,HG01071.lymph.m84046_240713_071511_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01071.lymph.m84046_240713_071511_s3,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-4.bam,m84046_240713_071511_s3,NA,bc04,5,PACBIO,REVIO,HPRC_Pool002.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool002.KN,0.197911,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG01071/raw_data/PacBio_Kinnex/HG01071.lymph.m84046_240717_105141_s2.flnc.bam,HG01071,7336779,HG01071.lymph.m84046_240717_105141_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01071.lymph.m84046_240717_105141_s2,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-4.bam,m84046_240717_105141_s2,NA,bc04,5,PACBIO,REVIO,HPRC_Pool002.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool002.KN,0.208254,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG01106/raw_data/PacBio_Kinnex/HG01106.lymph.m84046_240713_071511_s3.flnc.bam,HG01106,8007235,HG01106.lymph.m84046_240713_071511_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01106.lymph.m84046_240713_071511_s3,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-1.bam,m84046_240713_071511_s3,NA,bc01,5,PACBIO,REVIO,HPRC_Pool002.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool002.KN,0.203105,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG01106/raw_data/PacBio_Kinnex/HG01106.lymph.m84046_240717_105141_s2.flnc.bam,HG01106,7868980,HG01106.lymph.m84046_240717_105141_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01106.lymph.m84046_240717_105141_s2,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-1.bam,m84046_240717_105141_s2,NA,bc01,5,PACBIO,REVIO,HPRC_Pool002.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool002.KN,0.206905,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG01175/raw_data/PacBio_Kinnex/HG01175.lymph.m84046_240713_071511_s3.flnc.bam,HG01175,8214305,HG01175.lymph.m84046_240713_071511_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01175.lymph.m84046_240713_071511_s3,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-2.bam,m84046_240713_071511_s3,NA,bc02,5,PACBIO,REVIO,HPRC_Pool002.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool002.KN,0.201113,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG01175/raw_data/PacBio_Kinnex/HG01175.lymph.m84046_240717_105141_s2.flnc.bam,HG01175,8058598,HG01175.lymph.m84046_240717_105141_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01175.lymph.m84046_240717_105141_s2,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-2.bam,m84046_240717_105141_s2,NA,bc02,5,PACBIO,REVIO,HPRC_Pool002.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool002.KN,0.202408,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG01928/raw_data/PacBio_Kinnex/HG01928.lymph.m84046_240713_071511_s3.flnc.bam,HG01928,7276818,HG01928.lymph.m84046_240713_071511_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01928.lymph.m84046_240713_071511_s3,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-7.bam,m84046_240713_071511_s3,NA,bc11,5,PACBIO,REVIO,HPRC_Pool002.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool002.KN,0.156815,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG01928/raw_data/PacBio_Kinnex/HG01928.lymph.m84046_240717_105141_s2.flnc.bam,HG01928,7145440,HG01928.lymph.m84046_240717_105141_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01928.lymph.m84046_240717_105141_s2,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-7.bam,m84046_240717_105141_s2,NA,bc11,5,PACBIO,REVIO,HPRC_Pool002.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool002.KN,0.159928,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG01952/raw_data/PacBio_Kinnex/HG01952.lymph.m84046_240713_071511_s3.flnc.bam,HG01952,7805857,HG01952.lymph.m84046_240713_071511_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01952.lymph.m84046_240713_071511_s3,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-8.bam,m84046_240713_071511_s3,NA,bc12,5,PACBIO,REVIO,HPRC_Pool002.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool002.KN,0.175432,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG01952/raw_data/PacBio_Kinnex/HG01952.lymph.m84046_240717_105141_s2.flnc.bam,HG01952,7662103,HG01952.lymph.m84046_240717_105141_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01952.lymph.m84046_240717_105141_s2,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-8.bam,m84046_240717_105141_s2,NA,bc12,5,PACBIO,REVIO,HPRC_Pool002.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool002.KN,0.171525,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG01978/raw_data/PacBio_Kinnex/HG01978.lymph.m84046_240713_071511_s3.flnc.bam,HG01978,7723751,HG01978.lymph.m84046_240713_071511_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01978.lymph.m84046_240713_071511_s3,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-6.bam,m84046_240713_071511_s3,NA,bc10,5,PACBIO,REVIO,HPRC_Pool002.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool002.KN,0.186136,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG01978/raw_data/PacBio_Kinnex/HG01978.lymph.m84046_240717_105141_s2.flnc.bam,HG01978,7581179,HG01978.lymph.m84046_240717_105141_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01978.lymph.m84046_240717_105141_s2,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-6.bam,m84046_240717_105141_s2,NA,bc10,5,PACBIO,REVIO,HPRC_Pool002.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool002.KN,0.185434,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG02027/raw_data/PacBio_Kinnex/HG02027.lymph.m84046_240713_051553_s2.flnc.bam,HG02027,5600881,HG02027.lymph.m84046_240713_051553_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG02027.lymph.m84046_240713_051553_s2,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-6.bam,m84046_240713_051553_s2,NA,bc06,5,PACBIO,REVIO,HPRC_Pool001.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool001.KN,0.178678,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG02027/raw_data/PacBio_Kinnex/HG02027.lymph.m84046_240722_012946_s4.flnc.bam,HG02027,6140859,HG02027.lymph.m84046_240722_012946_s4.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG02027.lymph.m84046_240722_012946_s4,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-6.bam,m84046_240722_012946_s4,NA,bc06,5,PACBIO,REVIO,HPRC_Pool001.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool001.KN,0.171512,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG02071/raw_data/PacBio_Kinnex/HG02071.lymph.m84046_240713_091428_s4.flnc.bam,HG02071,6651858,HG02071.lymph.m84046_240713_091428_s4.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG02071.lymph.m84046_240713_091428_s4,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-6.bam,m84046_240713_091428_s4,NA,bc10,5,PACBIO,REVIO,HPRC_Pool003.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool003.KN,0.187661,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG02071/raw_data/PacBio_Kinnex/HG02071.lymph.m84046_240717_125059_s3.flnc.bam,HG02071,8168841,HG02071.lymph.m84046_240717_125059_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG02071.lymph.m84046_240717_125059_s3,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-6.bam,m84046_240717_125059_s3,NA,bc10,5,PACBIO,REVIO,HPRC_Pool003.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool003.KN,0.189606,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG02074/raw_data/PacBio_Kinnex/HG02074.lymph.m84046_240713_051553_s2.flnc.bam,HG02074,5535067,HG02074.lymph.m84046_240713_051553_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG02074.lymph.m84046_240713_051553_s2,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-7.bam,m84046_240713_051553_s2,NA,bc07,5,PACBIO,REVIO,HPRC_Pool001.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool001.KN,0.175062,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG02074/raw_data/PacBio_Kinnex/HG02074.lymph.m84046_240722_012946_s4.flnc.bam,HG02074,6066981,HG02074.lymph.m84046_240722_012946_s4.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG02074.lymph.m84046_240722_012946_s4,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-7.bam,m84046_240722_012946_s4,NA,bc07,5,PACBIO,REVIO,HPRC_Pool001.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool001.KN,0.170779,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG02083/raw_data/PacBio_Kinnex/HG02083.lymph.m84046_240713_091428_s4.flnc.bam,HG02083,6394842,HG02083.lymph.m84046_240713_091428_s4.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG02083.lymph.m84046_240713_091428_s4,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-3.bam,m84046_240713_091428_s4,NA,bc07,5,PACBIO,REVIO,HPRC_Pool003.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool003.KN,0.172237,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG02083/raw_data/PacBio_Kinnex/HG02083.lymph.m84046_240717_125059_s3.flnc.bam,HG02083,7887715,HG02083.lymph.m84046_240717_125059_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG02083.lymph.m84046_240717_125059_s3,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-3.bam,m84046_240717_125059_s3,NA,bc07,5,PACBIO,REVIO,HPRC_Pool003.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool003.KN,0.160398,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG02132/raw_data/PacBio_Kinnex/HG02132.lymph.m84046_240713_051553_s2.flnc.bam,HG02132,6399154,HG02132.lymph.m84046_240713_051553_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG02132.lymph.m84046_240713_051553_s2,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-2.bam,m84046_240713_051553_s2,NA,bc02,5,PACBIO,REVIO,HPRC_Pool001.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool001.KN,0.189659,1,TRUE,iviolich@ucsc.edu
