sample_id,filetype,filename,path,data_type,production,coverage,deepconsensus_coverage,deepconsensus_filename,deepconsensus_path,ccs_algorithm,basecaller,basecaller_version,study,accession,bioproject_accession,biosample_accession,design_description,notes,generator_contact,generator_facility,library_id,library_strategy,library_source,library_selection,library_layout,shear_method,size_selection,platform,instrument_model,seq_plate_chemistry_version,polymerase_version,total_reads,total_bp,total_gbp,mean,min,max,n25,n50,n75,quartile_25,quartile_50,quartile_75,ntsm_score,mm_tag,primrose_filename,mm_review,mm_remove,lima_version,lima_float_version
HG00126,bam,m84046_230617_043254_s3.hifi_reads.bc2043.bam,s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2043.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,7.9,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483144,PRJNA701308,SAMN41021637,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00126.HFSS_m84046_230617_043254_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,1147622,24387352695,24.39,21250,221,65475,19001,21095,24190,18611,20482,23230,0.569107,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00126,bam,m84046_230602_203207_s4.hifi_reads.bc2043.bam,s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2043.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,10.1,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483146,PRJNA701308,SAMN41021637,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00126.HFSS_m84046_230602_203207_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,1429169,31211081209,31.21,21838,114,72198,19339,21716,25155,18891,20975,24050,0.54501,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00128,bam,m84046_230630_233157_s3.bc2069--bc2069.bam,s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230630_233157_s3.bc2069--bc2069.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,26.5,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483091,PRJNA701308,SAMN41021641,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00128.HFSS2_m84046_230630_233157_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,4759375,82225293457,82.23,17276,120,51374,15407,17139,19609,15138,16658,18930,0.538261,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00128,bam,m84046_230617_050400_s4.hifi_reads.bc2044.bam,s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230617_050400_s4.hifi_reads.bc2044.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,15.2,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483092,PRJNA701308,SAMN41021641,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00128.HFSS_m84046_230617_050400_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2502838,46970020324,46.97,18766,67,55452,17223,18688,20659,17002,18364,20215,0.53878,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00128,bam,m84046_230617_043254_s3.hifi_reads.bc2044.bam,s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2044.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,13.9,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483094,PRJNA701308,SAMN41021641,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00128.HFSS_m84046_230617_043254_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2301584,43116301374,43.12,18733,124,54809,17205,18656,20611,16984,18337,20173,0.551591,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00128,bam,m84046_230602_203207_s4.hifi_reads.bc2044.bam,s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2044.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,10.7,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483093,PRJNA701308,SAMN41021641,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00128.HFSS_m84046_230602_203207_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,1751436,33229202038,33.23,18972,146,56094,17354,18894,20960,17118,18544,20490,0.589215,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00133,bam,m84046_230719_001055_s4.hifi_reads.bc2085.bam,s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230719_001055_s4.hifi_reads.bc2085.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,7.6,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483107,PRJNA701308,SAMN41021638,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00133.HFSS2_m84046_230719_001055_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,1079223,23522900809,23.52,21796,96,67080,19292,21676,25074,18839,20947,24008,0.598542,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00133,bam,m84046_230621_234848_s2.hifi_reads.bc2045.bam,s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230621_234848_s2.hifi_reads.bc2045.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,15.6,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483105,PRJNA701308,SAMN41021638,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00133.HFSS_m84046_230621_234848_s2,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2031393,48277281549,48.28,23765,131,66274,21210,23986,27519,20553,23142,26421,0.520236,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00133,bam,m84046_230621_231827_s1.hifi_reads.bc2045.bam,s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230621_231827_s1.hifi_reads.bc2045.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,14.3,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483110,PRJNA701308,SAMN41021638,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00133.HFSS_m84046_230621_231827_s1,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,1877396,44444296421,44.44,23673,129,66619,21149,23887,27366,20500,23070,26294,0.544246,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00133,bam,m84046_230617_050400_s4.hifi_reads.bc2045.bam,s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230617_050400_s4.hifi_reads.bc2045.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,9.7,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483108,PRJNA701308,SAMN41021638,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00133.HFSS_m84046_230617_050400_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,1269426,30053356453,30.05,23674,496,71360,21132,23874,27395,20482,23047,26301,0.542581,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00133,bam,m84046_230617_043254_s3.hifi_reads.bc2045.bam,s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2045.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,8.6,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483109,PRJNA701308,SAMN41021638,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00133.HFSS_m84046_230617_043254_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,1129803,26568174953,26.57,23515,204,63763,21024,23704,27160,20391,22908,26092,0.539217,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00133,bam,m84046_230602_203207_s4.hifi_reads.bc2045.bam,s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2045.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,10.2,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483106,PRJNA701308,SAMN41021638,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00133.HFSS_m84046_230602_203207_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,1299153,31577829326,31.58,24306,355,72239,21625,24531,28292,20931,23631,27114,0.571598,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00140,bam,m64136_220719_122056-bc1018.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/m64136_220719_122056-bc1018.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,10.9,12.63,HG00140.m64136_220719_122056.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00140/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00140.m64136_220719_122056.dc.q20.fastq.gz,6.0.0,ccs,6.0.0,SRP305758,SRR23732295,PRJNA701308,SAMN33621941,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG00140_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1547133,33866031514,33.87,21889,137,73370,19047,21631,25828,18518,20699,24213,,TRUE,,TRUE,TRUE,2.1.0,2.01
HG00140,bam,m64136_220717_152248-bc1018.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/m64136_220717_152248-bc1018.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,11,12.64,HG00140.m64136_220717_152248.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00140/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00140.m64136_220717_152248.dc.q20.fastq.gz,6.0.0,ccs,6.0.0,SRP305758,SRR23732295,PRJNA701308,SAMN33621941,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG00140_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1550035,34068521767,34.07,21979,51,68045,19100,21722,25987,18559,20771,24336,,TRUE,,TRUE,TRUE,2.1.0,2.01
HG00140,bam,m64136_220715_182717-bc1018.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/m64136_220715_182717-bc1018.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,10.4,11.91,HG00140.m64136_220715_182717.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00140/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00140.m64136_220715_182717.dc.q20.fastq.gz,6.0.0,ccs,6.0.0,SRP305758,SRR23732295,PRJNA701308,SAMN33621941,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG00140_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1465069,32183433807,32.18,21967,199,72755,19094,21721,25959,18553,20771,24326,,TRUE,,TRUE,TRUE,2.1.0,2.01
HG00140,bam,m64043_220728_173215-bc1018.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/m64043_220728_173215-bc1018.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,3.3,3.66,HG00140.m64043_220728_173215.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00140/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00140.m64043_220728_173215.dc.q20.fastq.gz,6.0.0,ccs,6.0.0,SRP305758,SRR23732295,PRJNA701308,SAMN33621941,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG00140_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,517275,10233445025,10.23,19783,51,53341,18131,19724,21738,17853,19373,21259,,TRUE,,TRUE,TRUE,2.1.0,2.01
HG00140,bam,m84081_230628_201157_s4.hifi_reads.bc1018.bam,s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/m84081_230628_201157_s4.hifi_reads.bc1018.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3_TopUp,10.2,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG00140_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1538629,31578187956,31.58,20523,216,64079,18409,20255,22952,18060,19748,22092,0.589587,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00140,bam,m84081_230628_194051_s3.hifi_reads.bc1018.bam,s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/m84081_230628_194051_s3.hifi_reads.bc1018.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3_TopUp,9.6,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG00140_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1456225,29738949475,29.74,20421,307,58382,18360,20178,22789,18021,19687,21981,0.599508,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00146,bam,m84081_230616_185930_s4.hifi_reads.bc2013.bam,s3://human-pangenomics/working/HPRC/HG00146/raw_data/PacBio_HiFi/m84081_230616_185930_s4.hifi_reads.bc2013.bam,unaligned reads,WUSTL_HPRC_HiFi_Year4,36.1,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29396855,PRJNA701308,SAMN41021634,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG00146_lib1_m84081_230616_185930_s4_m84081_230616_185930_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,5506717,112060886510,112.06,20349,67,58620,18538,20235,22498,18230,19832,21906,0.531688,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00146,bam,m84081_230616_182824_s3.hifi_reads.bc2013.bam,s3://human-pangenomics/working/HPRC/HG00146/raw_data/PacBio_HiFi/m84081_230616_182824_s3.hifi_reads.bc2013.bam,unaligned reads,WUSTL_HPRC_HiFi_Year4,36.5,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29396881,PRJNA701308,SAMN41021634,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG00146_lib1_m84081_230616_182824_s3_m84081_230616_182824_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,5556039,113249664653,113.25,20383,104,60682,18565,20268,22546,18255,19863,21947,0.533115,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00232,bam,m84081_230714_215730_s4.hifi_reads.bc2014.bam,s3://human-pangenomics/working/HPRC/HG00232/raw_data/PacBio_HiFi/m84081_230714_215730_s4.hifi_reads.bc2014.bam,unaligned reads,WUSTL_HPRC_HiFi_Year4,2.6,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29396922,PRJNA701308,SAMN41021635,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG00232_lib1_m84081_230714_215730_s4_m84081_230714_215730_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,398971,7956857338,7.96,19943,169,51376,18366,19870,21834,18108,19543,21367,0.691208,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00232,bam,m84081_230714_212624_s3.hifi_reads.bc2014.bam,s3://human-pangenomics/working/HPRC/HG00232/raw_data/PacBio_HiFi/m84081_230714_212624_s3.hifi_reads.bc2014.bam,unaligned reads,WUSTL_HPRC_HiFi_Year4,2.5,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29396923,PRJNA701308,SAMN41021635,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG00232_lib1_m84081_230714_212624_s3_m84081_230714_212624_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,384888,7637421327,7.64,19843,503,52520,18300,19779,21693,18046,19460,21241,0.691868,TRUE,,TRUE,FALSE,2.7.1,2.0701
