DeepConsensus_version,MM_tag,N25,N50,N75,accession,bioproject_accession,biosample_accession,ccs_algorithm,coverage,data_type,design_description,filename,filetype,generator_contact,generator_facility,instrument_model,library_ID,library_layout,library_selection,library_source,library_strategy,max,mean,min,notes,ntsm_score,path,platform,polymerase_version,production,quartile_25,quartile_50,quartile_75,sample_ID,seq_plate_chemistry_version,shear_method,size_selection,study,title,total_Gbp,total_bp,total_reads,deepconsensus_file,deepconsensus_path,deepconsensus_coverage
,True,15200,16110,17173,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230721_175633_s1.hifi_reads.bc1021.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG00597_lib1,single,size fractionation,GENOMIC,WGS,63621.0,16747,77.0,,0.595242,s3://human-pangenomics/working/HPRC/HG00597/raw_data/PacBio_HiFi/m84081_230721_175633_s1.hifi_reads.bc1021.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,15074,15919,16877,HG00597,Revio C1,Megaruptor 1,SageELF,,,34.17,34174323974,2040516,,,
,True,15208,16122,17194,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230721_182654_s2.hifi_reads.bc1021.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG00597_lib1,single,size fractionation,GENOMIC,WGS,60300.0,16774,204.0,,0.583679,s3://human-pangenomics/working/HPRC/HG00597/raw_data/PacBio_HiFi/m84081_230721_182654_s2.hifi_reads.bc1021.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,15080,15929,16891,HG00597,Revio C1,Megaruptor 1,SageELF,,,35.26,35257513965,2101855,,,
,True,17874,19430,21395,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230630_201015_s3.hifi_reads.default.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG01192_lib1,single,size fractionation,GENOMIC,WGS,47954.0,19477,221.0,,0.583267,s3://human-pangenomics/working/HPRC/HG01192/raw_data/PacBio_HiFi/m84081_230630_201015_s3.hifi_reads.default.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,17602,19093,20930,HG01192,Revio C1,Megaruptor 1,SageELF,,,35.7,35697807831,1832760,,,
,True,17993,19583,21617,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230630_204121_s4.hifi_reads.default.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG01192_lib1,single,size fractionation,GENOMIC,WGS,62582.0,19648,199.0,,0.58624,s3://human-pangenomics/working/HPRC/HG01192/raw_data/PacBio_HiFi/m84081_230630_204121_s4.hifi_reads.default.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,17715,19231,21125,HG01192,Revio C1,Megaruptor 1,SageELF,,,40.55,40551537988,2063897,,,
,True,18303,19691,21444,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230721_185800_s3.hifi_reads.bc2024.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG01261_lib1,single,size fractionation,GENOMIC,WGS,58766.0,19811,185.0,,0.577787,s3://human-pangenomics/working/HPRC/HG01261/raw_data/PacBio_HiFi/m84081_230721_185800_s3.hifi_reads.bc2024.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,18122,19427,21095,HG01261,Revio C1,Megaruptor 1,SageELF,,,39.84,39839220758,2010934,,,
,True,18273,19645,21384,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230721_192906_s4.hifi_reads.bc2024.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG01261_lib1,single,size fractionation,GENOMIC,WGS,47748.0,19763,196.0,,0.580676,s3://human-pangenomics/working/HPRC/HG01261/raw_data/PacBio_HiFi/m84081_230721_192906_s4.hifi_reads.bc2024.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,18095,19386,21043,HG01261,Revio C1,Megaruptor 1,SageELF,,,40.54,40538449364,2051142,,,
,True,16863,18450,21825,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230721_185800_s3.hifi_reads.bc2025.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG01975_lib1,single,size fractionation,GENOMIC,WGS,65588.0,19081,235.0,,0.544679,s3://human-pangenomics/working/HPRC/HG01975/raw_data/PacBio_HiFi/m84081_230721_185800_s3.hifi_reads.bc2025.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,16620,17983,20496,HG01975,Revio C1,Megaruptor 1,SageELF,,,36.33,36332054938,1904090,,,
,True,16817,18362,21577,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230721_192906_s4.hifi_reads.bc2025.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG01975_lib1,single,size fractionation,GENOMIC,WGS,67749.0,18976,205.0,,0.600327,s3://human-pangenomics/working/HPRC/HG01975/raw_data/PacBio_HiFi/m84081_230721_192906_s4.hifi_reads.bc2025.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,16586,17918,20304,HG01975,Revio C1,Megaruptor 1,SageELF,,,37.06,37057195075,1952833,,,
,True,16280,17861,21147,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230721_175633_s1.hifi_reads.bc1022.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG02015_lib1,single,size fractionation,GENOMIC,WGS,53233.0,18390,180.0,,0.598743,s3://human-pangenomics/working/HPRC/HG02015/raw_data/PacBio_HiFi/m84081_230721_175633_s1.hifi_reads.bc1022.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,16048,17371,20213,HG02015,Revio C1,Megaruptor 1,SageELF,,,25.78,25781047833,1401831,,,
,True,16298,17889,21193,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230721_182654_s2.hifi_reads.bc1022.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG02015_lib1,single,size fractionation,GENOMIC,WGS,47219.0,18418,232.0,,0.598384,s3://human-pangenomics/working/HPRC/HG02015/raw_data/PacBio_HiFi/m84081_230721_182654_s2.hifi_reads.bc1022.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,16065,17391,20263,HG02015,Revio C1,Megaruptor 1,SageELF,,,26.74,26742646975,1451922,,,
,True,18360,19736,21461,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230727_190726_s1.hifi_reads.bc2030.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG02056_lib1,single,size fractionation,GENOMIC,WGS,53629.0,19828,252.0,,0.594512,s3://human-pangenomics/working/HPRC/HG02056/raw_data/PacBio_HiFi/m84081_230727_190726_s1.hifi_reads.bc2030.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,18184,19477,21135,HG02056,Revio C1,Megaruptor 1,SageELF,,,31.46,31455375275,1586362,,,
,True,18351,19727,21460,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230727_193748_s2.hifi_reads.bc2030.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG02056_lib1,single,size fractionation,GENOMIC,WGS,48410.0,19825,140.0,,0.564754,s3://human-pangenomics/working/HPRC/HG02056/raw_data/PacBio_HiFi/m84081_230727_193748_s2.hifi_reads.bc2030.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,18175,19468,21131,HG02056,Revio C1,Megaruptor 1,SageELF,,,33.23,33226493949,1675950,,,
,True,14300,16086,18553,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230727_190726_s1.hifi_reads.bc2026.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG02129_lib1,single,size fractionation,GENOMIC,WGS,43642.0,16118,138.0,,0.594108,s3://human-pangenomics/working/HPRC/HG02129/raw_data/PacBio_HiFi/m84081_230727_190726_s1.hifi_reads.bc2026.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,14034,15466,18025,HG02129,Revio C1,Megaruptor 1,SageELF,,,30.71,30711911170,1905347,,,
,True,14288,16068,18537,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230727_193748_s2.hifi_reads.bc2026.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG02129_lib1,single,size fractionation,GENOMIC,WGS,48041.0,16105,202.0,,0.590372,s3://human-pangenomics/working/HPRC/HG02129/raw_data/PacBio_HiFi/m84081_230727_193748_s2.hifi_reads.bc2026.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,14022,15451,18008,HG02129,Revio C1,Megaruptor 1,SageELF,,,32.34,32339957005,2008014,,,
,True,16888,18581,21589,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230628_194051_s3.hifi_reads.bc1012.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG02155_lib1,single,size fractionation,GENOMIC,WGS,54107.0,18974,332.0,,0.578195,s3://human-pangenomics/working/HPRC/HG02155/raw_data/PacBio_HiFi/m84081_230628_194051_s3.hifi_reads.bc1012.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,16599,18080,20535,HG02155,Revio C1,Megaruptor 1,SageELF,,,41.82,41822505816,2204156,,,
,True,16922,18652,21753,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230628_201157_s4.hifi_reads.bc1012.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG02155_lib1,single,size fractionation,GENOMIC,WGS,55273.0,19050,119.0,,0.552685,s3://human-pangenomics/working/HPRC/HG02155/raw_data/PacBio_HiFi/m84081_230628_201157_s4.hifi_reads.bc1012.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,16623,18131,20667,HG02155,Revio C1,Megaruptor 1,SageELF,,,44.01,44008928750,2310099,,,
,True,15555,16327,17320,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230721_185800_s3.hifi_reads.bc1011.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG02258_lib1,single,size fractionation,GENOMIC,WGS,54340.0,16912,122.0,,0.586353,s3://human-pangenomics/working/HPRC/HG02258/raw_data/PacBio_HiFi/m84081_230721_185800_s3.hifi_reads.bc1011.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,15448,16181,17049,HG02258,Revio C1,Megaruptor 1,SageELF,,,29.91,29911964228,1768602,,,
,True,15537,16300,17266,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230721_192906_s4.hifi_reads.bc1011.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG02258_lib1,single,size fractionation,GENOMIC,WGS,56644.0,16841,332.0,,0.616478,s3://human-pangenomics/working/HPRC/HG02258/raw_data/PacBio_HiFi/m84081_230721_192906_s4.hifi_reads.bc1011.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,15434,16162,17015,HG02258,Revio C1,Megaruptor 1,SageELF,,,31.05,31046623535,1843486,,,
,True,17321,20181,23433,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230630_190803_s1.hifi_reads.bc1002.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG02273_lib1,single,size fractionation,GENOMIC,WGS,54656.0,20043,207.0,,0.635871,s3://human-pangenomics/working/HPRC/HG02273/raw_data/PacBio_HiFi/m84081_230630_190803_s1.hifi_reads.bc1002.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,16970,18976,22396,HG02273,Revio C1,Megaruptor 1,SageELF,,,17.55,17550787269,875650,,,
,True,17370,20326,23580,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230630_193909_s2.hifi_reads.bc1002.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG02273_lib1,single,size fractionation,GENOMIC,WGS,58922.0,20154,484.0,,0.669149,s3://human-pangenomics/working/HPRC/HG02273/raw_data/PacBio_HiFi/m84081_230630_193909_s2.hifi_reads.bc1002.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,17011,19136,22531,HG02273,Revio C1,Megaruptor 1,SageELF,,,20.81,20811099072,1032587,,,
,True,17366,18631,20198,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230628_183924_s1.hifi_reads.bc1017.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG02965_lib1,single,size fractionation,GENOMIC,WGS,43882.0,18649,103.0,,0.575731,s3://human-pangenomics/working/HPRC/HG02965/raw_data/PacBio_HiFi/m84081_230628_183924_s1.hifi_reads.bc1017.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,17191,18400,19909,HG02965,Revio C1,Megaruptor 1,SageELF,,,32.75,32754766619,1756350,,,
,True,17391,18667,20242,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230628_190945_s2.hifi_reads.bc1017.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG02965_lib1,single,size fractionation,GENOMIC,WGS,47347.0,18687,191.0,,0.586608,s3://human-pangenomics/working/HPRC/HG02965/raw_data/PacBio_HiFi/m84081_230628_190945_s2.hifi_reads.bc1017.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,17214,18432,19952,HG02965,Revio C1,Megaruptor 1,SageELF,,,34.61,34606195585,1851840,,,
,True,14987,16189,20306,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230630_190803_s1.hifi_reads.bc1009.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG02976_lib1,single,size fractionation,GENOMIC,WGS,59681.0,17255,181.0,,0.584685,s3://human-pangenomics/working/HPRC/HG02976/raw_data/PacBio_HiFi/m84081_230630_190803_s1.hifi_reads.bc1009.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,14763,15789,17360,HG02976,Revio C1,Megaruptor 1,SageELF,,,31.74,31736812200,1839182,,,
,True,15018,16258,21072,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230630_193909_s2.hifi_reads.bc1009.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG02976_lib1,single,size fractionation,GENOMIC,WGS,56815.0,17383,154.0,,0.559052,s3://human-pangenomics/working/HPRC/HG02976/raw_data/PacBio_HiFi/m84081_230630_193909_s2.hifi_reads.bc1009.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,14785,15832,17476,HG02976,Revio C1,Megaruptor 1,SageELF,,,37.02,37022396587,2129747,,,
,True,16965,18206,20031,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230628_183924_s1.hifi_reads.bc1010.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG03195_lib1,single,size fractionation,GENOMIC,WGS,52584.0,18619,493.0,,0.600396,s3://human-pangenomics/working/HPRC/HG03195/raw_data/PacBio_HiFi/m84081_230628_183924_s1.hifi_reads.bc1010.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,16775,17929,19480,HG03195,Revio C1,Megaruptor 1,SageELF,,,20.39,20387557793,1094970,,,
,True,16989,18248,20150,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230628_190945_s2.hifi_reads.bc1010.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG03195_lib1,single,size fractionation,GENOMIC,WGS,52888.0,18690,308.0,,0.613845,s3://human-pangenomics/working/HPRC/HG03195/raw_data/PacBio_HiFi/m84081_230628_190945_s2.hifi_reads.bc1010.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,16796,17961,19554,HG03195,Revio C1,Megaruptor 1,SageELF,,,21.6,21595080464,1155385,,,
,True,18806,21877,25098,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230715_203436_s1.hifi_reads.bc1010.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG03195_lib1,single,size fractionation,GENOMIC,WGS,60552.0,21527,441.0,,0.697711,s3://human-pangenomics/working/HPRC/HG03195/raw_data/PacBio_HiFi/m84081_230715_203436_s1.hifi_reads.bc1010.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,18166,20948,24091,HG03195,Revio C1,Megaruptor 1,SageELF,,,9.71,9706219917,450880,,,
,True,18616,21638,24791,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230715_210542_s2.hifi_reads.bc1010.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG03195_lib1,single,size fractionation,GENOMIC,WGS,54382.0,21294,332.0,,0.66392,s3://human-pangenomics/working/HPRC/HG03195/raw_data/PacBio_HiFi/m84081_230715_210542_s2.hifi_reads.bc1010.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,18018,20689,23825,HG03195,Revio C1,Megaruptor 1,SageELF,,,9.16,9156425830,430000,,,
,True,18673,21723,24924,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230715_213648_s3.hifi_reads.bc1010.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG03195_lib1,single,size fractionation,GENOMIC,WGS,53912.0,21378,228.0,,0.652628,s3://human-pangenomics/working/HPRC/HG03195/raw_data/PacBio_HiFi/m84081_230715_213648_s3.hifi_reads.bc1010.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,18061,20776,23921,HG03195,Revio C1,Megaruptor 1,SageELF,,,10.71,10705886485,500788,,,
,True,18774,21852,25064,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230715_220754_s4.hifi_reads.bc1010.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG03195_lib1,single,size fractionation,GENOMIC,WGS,55599.0,21492,132.0,,0.673004,s3://human-pangenomics/working/HPRC/HG03195/raw_data/PacBio_HiFi/m84081_230715_220754_s4.hifi_reads.bc1010.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,18135,20910,24053,HG03195,Revio C1,Megaruptor 1,SageELF,,,11.14,11135980667,518142,,,
,True,18235,19838,21846,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230630_201015_s3.hifi_reads.bc1008.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG03225_lib1,single,size fractionation,GENOMIC,WGS,50035.0,19865,134.0,,0.576152,s3://human-pangenomics/working/HPRC/HG03225/raw_data/PacBio_HiFi/m84081_230630_201015_s3.hifi_reads.bc1008.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,17942,19487,21359,HG03225,Revio C1,Megaruptor 1,SageELF,,,26.54,26539028573,1335909,,,
,True,18364,20003,22085,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230630_204121_s4.hifi_reads.bc1008.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG03225_lib1,single,size fractionation,GENOMIC,WGS,51937.0,20055,514.0,,0.583893,s3://human-pangenomics/working/HPRC/HG03225/raw_data/PacBio_HiFi/m84081_230630_204121_s4.hifi_reads.bc1008.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,18067,19635,21571,HG03225,Revio C1,Megaruptor 1,SageELF,,,30.79,30794493478,1535432,,,
,True,15329,16136,17019,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230630_201015_s3.hifi_reads.bc1012.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG03834_lib1,single,size fractionation,GENOMIC,WGS,39501.0,16115,146.0,,0.574897,s3://human-pangenomics/working/HPRC/HG03834/raw_data/PacBio_HiFi/m84081_230630_201015_s3.hifi_reads.bc1012.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,15250,16040,16920,HG03834,Revio C1,Megaruptor 1,SageELF,,,39.43,39431223809,2446736,,,
