sample_id,filename,accession,study,bioproject_accession,biosample_accession,library_id,library_strategy,library_source,platform,instrument_model,design_description,generator_facility,generator_contact,assembly,data_type,filetype,library_layout,library_selection,shear_method,title,total_bp,coverage,ntsm_score,path,total_gbp,production,basecaller,basecaller_version
HG00097,HG00097-1_FC4_S5_L001_R2_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021660,HG00097-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00097,41463345039,13.38,0.424785,s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00097/raw_data/hic/HG00097-1_FC4_S5_L001_R2_001.fastq.gz,41.46,HIC_Y3_Y4_part2,,
HG00097,HG00097-2_FC2_S6_L001_R1_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021660,HG00097-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00097,26150599327,8.44,0.442444,s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00097/raw_data/hic/HG00097-2_FC2_S6_L001_R1_001.fastq.gz,26.15,HIC_Y3_Y4_part2,,
HG00097,HG00097-2_FC1_S6_L001_R1_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021660,HG00097-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00097,25506303618,8.23,0.446166,s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00097/raw_data/hic/HG00097-2_FC1_S6_L001_R1_001.fastq.gz,25.51,HIC_Y3_Y4_part2,,
HG00097,HG00097-2_FC3_S6_L001_R2_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021660,HG00097-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00097,26242285470,8.47,0.451482,s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00097/raw_data/hic/HG00097-2_FC3_S6_L001_R2_001.fastq.gz,26.24,HIC_Y3_Y4_part2,,
HG00097,HG00097-2_FC3_S6_L001_R1_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021660,HG00097-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00097,26242285470,8.47,0.471388,s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00097/raw_data/hic/HG00097-2_FC3_S6_L001_R1_001.fastq.gz,26.24,HIC_Y3_Y4_part2,,
HG00097,HG00097-2_FC4_S6_L001_R1_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021660,HG00097-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00097,25670168667,8.28,0.490165,s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00097/raw_data/hic/HG00097-2_FC4_S6_L001_R1_001.fastq.gz,25.67,HIC_Y3_Y4_part2,,
HG00099,HG00099-1_S20_L001_R1_001.fastq.gz,SRR30242407,SRP305758,PRJNA701308,SAMN33758778,HG00099-1_S20_L001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00099,10451741673,3.37,0.63141,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L001_R1_001.fastq.gz,10.45,HiC,,
HG00099,HG00099-1_S20_L002_R1_001.fastq.gz,SRR30242406,SRP305758,PRJNA701308,SAMN33758778,HG00099-1_S20_L002,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00099,11266122224,3.63,0.580328,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L002_R1_001.fastq.gz,11.27,HiC,,
HG00099,HG00099-1_S20_L003_R1_001.fastq.gz,SRR30242322,SRP305758,PRJNA701308,SAMN33758778,HG00099-1_S20_L003,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00099,11263022499,3.63,0.577897,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L003_R1_001.fastq.gz,11.26,HiC,,
HG00099,HG00099-1_S20_L004_R1_001.fastq.gz,SRR30242307,SRP305758,PRJNA701308,SAMN33758778,HG00099-1_S20_L004,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00099,11172967086,3.6,0.610805,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L004_R1_001.fastq.gz,11.17,HiC,,
HG00099,HG00099-2_S28_L001_R1_001.fastq.gz,SRR30242271,SRP305758,PRJNA701308,SAMN33758778,HG00099-2_S28_L001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00099,10131790358,3.27,0.607471,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L001_R1_001.fastq.gz,10.13,HiC,,
HG00099,HG00099-2_S28_L002_R1_001.fastq.gz,SRR30242256,SRP305758,PRJNA701308,SAMN33758778,HG00099-2_S28_L002,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00099,11131760226,3.59,0.634275,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L002_R1_001.fastq.gz,11.13,HiC,,
HG00099,HG00099-2_S28_L003_R1_001.fastq.gz,SRR30242245,SRP305758,PRJNA701308,SAMN33758778,HG00099-2_S28_L003,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00099,11135119794,3.59,0.639197,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L003_R1_001.fastq.gz,11.14,HiC,,
HG00099,HG00099-2_S28_L004_R1_001.fastq.gz,SRR30242475,SRP305758,PRJNA701308,SAMN33758778,HG00099-2_S28_L004,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00099,10993123748,3.55,0.602038,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L004_R1_001.fastq.gz,10.99,HiC,,
HG00099,HG00099-1_S20_L001_R2_001.fastq.gz,SRR30242407,SRP305758,PRJNA701308,SAMN33758778,HG00099-1_S20_L001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00099,10450847711,3.37,0.586367,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L001_R2_001.fastq.gz,10.45,HiC,,
HG00099,HG00099-1_S20_L002_R2_001.fastq.gz,SRR30242406,SRP305758,PRJNA701308,SAMN33758778,HG00099-1_S20_L002,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00099,11265516145,3.63,0.584291,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L002_R2_001.fastq.gz,11.27,HiC,,
HG00099,HG00099-1_S20_L003_R2_001.fastq.gz,SRR30242322,SRP305758,PRJNA701308,SAMN33758778,HG00099-1_S20_L003,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00099,11262373437,3.63,0.593362,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L003_R2_001.fastq.gz,11.26,HiC,,
HG00099,HG00099-1_S20_L004_R2_001.fastq.gz,SRR30242307,SRP305758,PRJNA701308,SAMN33758778,HG00099-1_S20_L004,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00099,11172372001,3.6,0.606946,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L004_R2_001.fastq.gz,11.17,HiC,,
HG00099,HG00099-2_S28_L001_R2_001.fastq.gz,SRR30242271,SRP305758,PRJNA701308,SAMN33758778,HG00099-2_S28_L001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00099,10130938028,3.27,0.585726,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L001_R2_001.fastq.gz,10.13,HiC,,
HG00099,HG00099-2_S28_L002_R2_001.fastq.gz,SRR30242256,SRP305758,PRJNA701308,SAMN33758778,HG00099-2_S28_L002,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00099,11131143646,3.59,0.574405,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L002_R2_001.fastq.gz,11.13,HiC,,
HG00099,HG00099-2_S28_L003_R2_001.fastq.gz,SRR30242245,SRP305758,PRJNA701308,SAMN33758778,HG00099-2_S28_L003,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00099,11134454158,3.59,0.580572,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L003_R2_001.fastq.gz,11.13,HiC,,
HG00099,HG00099-2_S28_L004_R2_001.fastq.gz,SRR30242475,SRP305758,PRJNA701308,SAMN33758778,HG00099-2_S28_L004,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00099,10992500429,3.55,0.590519,s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L004_R2_001.fastq.gz,10.99,HiC,,
HG00126,HG00126-1_FC1_S3_L004_R2_001.fastq.gz,SRR30310981,SRP305758,PRJNA701308,SAMN41021637,HG00126-1_FC1_S3_L004,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00126,23014404072,7.42,0.456062,s3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-1_FC1_S3_L004_R2_001.fastq.gz,23.01,HiC,,
HG00126,HG00126-1_FC2_S3_L004_R2_001.fastq.gz,SRR30310980,SRP305758,PRJNA701308,SAMN41021637,HG00126-1_FC2_S3_L004,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00126,21643319995,6.98,0.494569,s3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-1_FC2_S3_L004_R2_001.fastq.gz,21.64,HiC,,
HG00126,HG00126-2_FC1_S4_L004_R2_001.fastq.gz,SRR30310819,SRP305758,PRJNA701308,SAMN41021637,HG00126-2_FC1_S4_L004,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00126,33281084483,10.74,0.416005,s3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-2_FC1_S4_L004_R2_001.fastq.gz,33.28,HiC,,
HG00126,HG00126-2_FC2_S4_L004_R2_001.fastq.gz,SRR30310952,SRP305758,PRJNA701308,SAMN41021637,HG00126-2_FC2_S4_L004,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00126,31102901178,10.03,0.42042,s3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-2_FC2_S4_L004_R2_001.fastq.gz,31.1,HiC,,
HG00126,HG00126-1_FC1_S3_L004_R1_001.fastq.gz,SRR30310981,SRP305758,PRJNA701308,SAMN41021637,HG00126-1_FC1_S3_L004,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00126,23014404072,7.42,0.456062,s3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-1_FC1_S3_L004_R1_001.fastq.gz,23.01,HiC,,
HG00126,HG00126-1_FC2_S3_L004_R1_001.fastq.gz,SRR30310980,SRP305758,PRJNA701308,SAMN41021637,HG00126-1_FC2_S3_L004,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00126,21643319995,6.98,0.494569,s3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-1_FC2_S3_L004_R1_001.fastq.gz,21.64,HiC,,
HG00126,HG00126-2_FC1_S4_L004_R1_001.fastq.gz,SRR30310819,SRP305758,PRJNA701308,SAMN41021637,HG00126-2_FC1_S4_L004,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00126,33281084483,10.74,0.416005,s3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-2_FC1_S4_L004_R1_001.fastq.gz,33.28,HiC,,
HG00126,HG00126-2_FC2_S4_L004_R1_001.fastq.gz,SRR30310952,SRP305758,PRJNA701308,SAMN41021637,HG00126-2_FC2_S4_L004,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00126,31102901178,10.03,0.42042,s3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-2_FC2_S4_L004_R1_001.fastq.gz,31.1,HiC,,
HG00128,HG00128-1_FC1_S9_L004_R2_001.fastq.gz,SRR30310941,SRP305758,PRJNA701308,SAMN41021641,HG00128-1_FC1_S9_L004,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00128,18338855625,5.92,0.461992,s3://human-pangenomics/working/HPRC/HG00128/raw_data/hic/HG00128-1_FC1_S9_L004_R2_001.fastq.gz,18.34,HiC,,
HG00128,HG00128-1_FC2_S9_L004_R2_001.fastq.gz,SRR30310906,SRP305758,PRJNA701308,SAMN41021641,HG00128-1_FC2_S9_L004,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00128,17480349957,5.64,0.498659,s3://human-pangenomics/working/HPRC/HG00128/raw_data/hic/HG00128-1_FC2_S9_L004_R2_001.fastq.gz,17.48,HiC,,
HG00128,HG00128-2_FC1_S10_L004_R2_001.fastq.gz,SRR30310895,SRP305758,PRJNA701308,SAMN41021641,HG00128-2_FC1_S10_L004,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00128,17124632311,5.52,0.519285,s3://human-pangenomics/working/HPRC/HG00128/raw_data/hic/HG00128-2_FC1_S10_L004_R2_001.fastq.gz,17.12,HiC,,
HG00128,HG00128-2_FC2_S10_L004_R2_001.fastq.gz,SRR30310884,SRP305758,PRJNA701308,SAMN41021641,HG00128-2_FC2_S10_L004,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00128,16272984308,5.25,0.558467,s3://human-pangenomics/working/HPRC/HG00128/raw_data/hic/HG00128-2_FC2_S10_L004_R2_001.fastq.gz,16.27,HiC,,
HG00128,HG00128-1_FC1_S9_L004_R1_001.fastq.gz,SRR30310941,SRP305758,PRJNA701308,SAMN41021641,HG00128-1_FC1_S9_L004,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00128,18338855625,5.92,0.461992,s3://human-pangenomics/working/HPRC/HG00128/raw_data/hic/HG00128-1_FC1_S9_L004_R1_001.fastq.gz,18.34,HiC,,
