sample_id,read_files_downsampled,number_of_read_files_downsampled,total_coverage_downsampled,number_of_cores_per_task_downsampled,mapper_preset,kmer_size,read_files,number_of_read_files,total_coverage,coverage,number_of_cores_per_task,instrument_model,hmm_flagger_window_size,hmm_flagger_alpha_tsv
HG00253,"['s3://human-pangenomics/working/HPRC/HG00253/raw_data/PacBio_HiFi/m84091_230721_134835_s1.hifi_reads.bc1003.bam', 's3://human-pangenomics/working/HPRC/HG00253/raw_data/PacBio_HiFi/m84091_230727_143029_s4.hifi_reads.bc1003.bam']",2,64.9,32,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00253/raw_data/PacBio_HiFi/m84091_230721_134835_s1.hifi_reads.bc1003.bam', 's3://human-pangenomics/working/HPRC/HG00253/raw_data/PacBio_HiFi/m84091_230727_143029_s4.hifi_reads.bc1003.bam']",2,64.9,"[36.0, 28.9]",32,"['Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00258,"['s3://human-pangenomics/working/HPRC/HG00258/raw_data/PacBio_HiFi/m84046_230724_193107_s2.hifi_reads.bc2096.bam', 's3://human-pangenomics/working/HPRC/HG00258/raw_data/PacBio_HiFi/m84046_230724_190043_s1.hifi_reads.bc2096.bam', 's3://human-pangenomics/working/HPRC/HG00258/raw_data/PacBio_HiFi/m84046_230728_232723_s1.hifi_reads.bc2096.bam', 's3://human-pangenomics/working/HPRC/HG00258/raw_data/PacBio_HiFi/m84046_230724_200213_s3.hifi_reads.bc2096.bam']",4,66.5,16,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00258/raw_data/PacBio_HiFi/m84046_230728_232723_s1.hifi_reads.bc2096.bam', 's3://human-pangenomics/working/HPRC/HG00258/raw_data/PacBio_HiFi/m84046_230724_190043_s1.hifi_reads.bc2096.bam', 's3://human-pangenomics/working/HPRC/HG00258/raw_data/PacBio_HiFi/m84046_230724_193107_s2.hifi_reads.bc2096.bam', 's3://human-pangenomics/working/HPRC/HG00258/raw_data/PacBio_HiFi/m84046_230724_200213_s3.hifi_reads.bc2096.bam']",4,66.5,"[16.3, 16.6, 17.4, 16.2]",16,"['Revio', 'Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00272,"['s3://human-pangenomics/working/HPRC/HG00272/raw_data/PacBio_HiFi/m84046_230719_001055_s4.hifi_reads.bc2087.bam', 's3://human-pangenomics/working/HPRC/HG00272/raw_data/PacBio_HiFi/m84046_230716_054822_s4.hifi_reads.bc2087.bam', 's3://human-pangenomics/working/HPRC/HG00272/raw_data/PacBio_HiFi/m84046_230716_051716_s3.hifi_reads.bc2087.bam', 's3://human-pangenomics/working/HPRC/HG00272/raw_data/PacBio_HiFi/m84046_230718_223822_s1.hifi_reads.bc2087.bam']",4,67.8,16,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00272/raw_data/PacBio_HiFi/m84046_230719_001055_s4.hifi_reads.bc2087.bam', 's3://human-pangenomics/working/HPRC/HG00272/raw_data/PacBio_HiFi/m84046_230716_051716_s3.hifi_reads.bc2087.bam', 's3://human-pangenomics/working/HPRC/HG00272/raw_data/PacBio_HiFi/m84046_230716_054822_s4.hifi_reads.bc2087.bam', 's3://human-pangenomics/working/HPRC/HG00272/raw_data/PacBio_HiFi/m84046_230718_223822_s1.hifi_reads.bc2087.bam']",4,67.8,"[21.5, 18.0, 19.1, 9.2]",16,"['Revio', 'Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00290,"['s3://human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_HiFi/m84046_230627_204123_s2.hifi_reads.bc2052.bam', 's3://human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_HiFi/m84046_230627_201017_s1.hifi_reads.bc2052.bam', 's3://human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_HiFi/m84046_230623_203534_s4.hifi_reads.bc2052.bam', 's3://human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_HiFi/m84046_230630_233157_s3.bc2052--bc2052.bam', 's3://human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_HiFi/m84046_230712_224626_s1.hifi_reads.bc2052.bam']",5,63.3,12,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_HiFi/m84046_230627_204123_s2.hifi_reads.bc2052.bam', 's3://human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_HiFi/m84046_230623_203534_s4.hifi_reads.bc2052.bam', 's3://human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_HiFi/m84046_230627_201017_s1.hifi_reads.bc2052.bam', 's3://human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_HiFi/m84046_230630_233157_s3.bc2052--bc2052.bam', 's3://human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_HiFi/m84046_230712_224626_s1.hifi_reads.bc2052.bam']",5,63.300000000000004,"[19.1, 15.8, 16.8, 8.0, 3.6]",12,"['Revio', 'Revio', 'Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00320,"['s3://human-pangenomics/working/HPRC/HG00320/raw_data/PacBio_HiFi/m84081_230610_205536_s4.hifi_reads.bc2011.bam', 's3://human-pangenomics/working/HPRC/HG00320/raw_data/PacBio_HiFi/m84081_230610_202430_s3.hifi_reads.bc2011.bam']",2,68.3,32,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00320/raw_data/PacBio_HiFi/m84081_230610_202430_s3.hifi_reads.bc2011.bam', 's3://human-pangenomics/working/HPRC/HG00320/raw_data/PacBio_HiFi/m84081_230610_205536_s4.hifi_reads.bc2011.bam']",2,68.3,"[28.8, 39.5]",32,"['Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00321,"['s3://human-pangenomics/working/HPRC/HG00321/raw_data/PacBio_HiFi/m84081_230623_212309_s3.hifi_reads.bc2015.bam', 's3://human-pangenomics/working/HPRC/HG00321/raw_data/PacBio_HiFi/m84081_230623_215414_s4.hifi_reads.bc2015.bam', 's3://human-pangenomics/working/HPRC/HG00321/raw_data/PacBio_HiFi/m84081_230630_193909_s2.hifi_reads.bc2015.bam', 's3://human-pangenomics/working/HPRC/HG00321/raw_data/PacBio_HiFi/m84081_230630_190803_s1.hifi_reads.bc2015.bam']",4,61.2,16,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00321/raw_data/PacBio_HiFi/m84081_230623_212309_s3.hifi_reads.bc2015.bam', 's3://human-pangenomics/working/HPRC/HG00321/raw_data/PacBio_HiFi/m84081_230623_215414_s4.hifi_reads.bc2015.bam', 's3://human-pangenomics/working/HPRC/HG00321/raw_data/PacBio_HiFi/m84081_230630_190803_s1.hifi_reads.bc2015.bam', 's3://human-pangenomics/working/HPRC/HG00321/raw_data/PacBio_HiFi/m84081_230630_193909_s2.hifi_reads.bc2015.bam']",4,61.20000000000001,"[28.3, 28.1, 2.2, 2.6]",16,"['Revio', 'Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00323,"['s3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m64136_220712_144943-bc1016.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m64136_220710_175208-bc1016.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m64136_220708_205611-bc1016.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230624_213331_s3.hifi_reads.bc1016.bam', 's3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230624_220437_s4.hifi_reads.bc1016.bam', 's3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230623_212309_s3.hifi_reads.bc1016.bam', 's3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230623_215414_s4.hifi_reads.bc1016.bam', 's3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230624_210225_s2.hifi_reads.bc1016.bam', 's3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230624_203119_s1.hifi_reads.bc1016.bam', 's3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m64043_220728_173215-bc1016.5mc.hifi_reads.bam']",10,56.7,6,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m64136_220708_205611-bc1016.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m64136_220712_144943-bc1016.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m64043_220728_173215-bc1016.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m64136_220710_175208-bc1016.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230623_212309_s3.hifi_reads.bc1016.bam', 's3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230623_215414_s4.hifi_reads.bc1016.bam', 's3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230624_203119_s1.hifi_reads.bc1016.bam', 's3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230624_210225_s2.hifi_reads.bc1016.bam', 's3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230624_213331_s3.hifi_reads.bc1016.bam', 's3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230624_220437_s4.hifi_reads.bc1016.bam']",10,56.70000000000001,"[10.8, 11.2, 2.2, 10.9, 3.2, 3.2, 3.0, 3.2, 4.7, 4.3]",6,"['Sequel II', 'Sequel II', 'Sequel II', 'Sequel II', 'Revio', 'Revio', 'Revio', 'Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00329,"['s3://human-pangenomics/working/HPRC/HG00329/raw_data/PacBio_HiFi/m84091_230712_173338_s3.hifi_reads.bc1019.bam', 's3://human-pangenomics/working/HPRC/HG00329/raw_data/PacBio_HiFi/m84091_230719_165228_s3.hifi_reads.bc1019.bam']",2,62.1,32,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00329/raw_data/PacBio_HiFi/m84091_230712_173338_s3.hifi_reads.bc1019.bam', 's3://human-pangenomics/working/HPRC/HG00329/raw_data/PacBio_HiFi/m84091_230719_165228_s3.hifi_reads.bc1019.bam']",2,62.1,"[34.2, 27.9]",32,"['Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00344,"['s3://human-pangenomics/working/HPRC/HG00344/raw_data/PacBio_HiFi/m84046_230718_233949_s3.hifi_reads.bc2083.bam', 's3://human-pangenomics/working/HPRC/HG00344/raw_data/PacBio_HiFi/m84046_230715_064007_s2.hifi_reads.bc2083.bam', 's3://human-pangenomics/working/HPRC/HG00344/raw_data/PacBio_HiFi/m84046_230715_060901_s1.hifi_reads.bc2083.bam']",3,65.3,21,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00344/raw_data/PacBio_HiFi/m84046_230715_064007_s2.hifi_reads.bc2083.bam', 's3://human-pangenomics/working/HPRC/HG00344/raw_data/PacBio_HiFi/m84046_230715_060901_s1.hifi_reads.bc2083.bam', 's3://human-pangenomics/working/HPRC/HG00344/raw_data/PacBio_HiFi/m84046_230718_233949_s3.hifi_reads.bc2083.bam']",3,65.30000000000001,"[20.6, 19.6, 25.1]",21,"['Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00350,"['s3://human-pangenomics/working/HPRC/HG00350/raw_data/PacBio_HiFi/m84046_230703_222200_s3.hifi_reads.bc2048.bam', 's3://human-pangenomics/working/HPRC/HG00350/raw_data/PacBio_HiFi/m84046_230701_000218_s4.hifi_reads.bc2048.bam', 's3://human-pangenomics/working/HPRC/HG00350/raw_data/PacBio_HiFi/m84046_230712_231732_s2.hifi_reads.bc2048.bam']",3,65.8,21,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00350/raw_data/PacBio_HiFi/m84046_230712_231732_s2.hifi_reads.bc2048.bam', 's3://human-pangenomics/working/HPRC/HG00350/raw_data/PacBio_HiFi/m84046_230703_222200_s3.hifi_reads.bc2048.bam', 's3://human-pangenomics/working/HPRC/HG00350/raw_data/PacBio_HiFi/m84046_230701_000218_s4.hifi_reads.bc2048.bam']",3,65.8,"[6.7, 37.8, 21.3]",21,"['Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00384,"['s3://human-pangenomics/working/HPRC/HG00384/raw_data/PacBio_HiFi/m84081_230714_215730_s4.hifi_reads.bc2021.bam', 's3://human-pangenomics/working/HPRC/HG00384/raw_data/PacBio_HiFi/m84081_230714_212624_s3.hifi_reads.bc2021.bam', 's3://human-pangenomics/working/HPRC/HG00384/raw_data/PacBio_HiFi/m84081_230721_182654_s2.hifi_reads.bc2021.bam', 's3://human-pangenomics/working/HPRC/HG00384/raw_data/PacBio_HiFi/m84081_230721_175633_s1.hifi_reads.bc2021.bam']",4,61.3,16,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00384/raw_data/PacBio_HiFi/m84081_230714_212624_s3.hifi_reads.bc2021.bam', 's3://human-pangenomics/working/HPRC/HG00384/raw_data/PacBio_HiFi/m84081_230714_215730_s4.hifi_reads.bc2021.bam', 's3://human-pangenomics/working/HPRC/HG00384/raw_data/PacBio_HiFi/m84081_230721_175633_s1.hifi_reads.bc2021.bam', 's3://human-pangenomics/working/HPRC/HG00384/raw_data/PacBio_HiFi/m84081_230721_182654_s2.hifi_reads.bc2021.bam']",4,61.3,"[28.1, 29.5, 1.8, 1.9]",16,"['Revio', 'Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00609,"['s3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/m64136_210620_054327.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/m64136_210624_033152.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/m64136_210622_163607.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/m84081_231124_014115_s1.hifi_reads.bc2090.bam', 's3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/m84081_231124_024327_s3.hifi_reads.bc2090.bam', 's3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/m84081_231124_021221_s2.hifi_reads.bc2090.bam']",6,65.2,10,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/m64136_210620_054327.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/m64136_210622_163607.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/m64136_210624_033152.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/m84081_231124_014115_s1.hifi_reads.bc2090.bam', 's3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/m84081_231124_021221_s2.hifi_reads.bc2090.bam', 's3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/m84081_231124_024327_s3.hifi_reads.bc2090.bam']",6,65.2,"[11.8, 11.0, 11.6, 11.0, 9.4, 10.4]",10,"['Sequel II', 'Sequel II', 'Sequel II', 'Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00662,"['s3://human-pangenomics/working/HPRC/HG00662/raw_data/PacBio_HiFi/m84091_230725_161037_s2.hifi_reads.bc1011.bam', 's3://human-pangenomics/working/HPRC/HG00662/raw_data/PacBio_HiFi/m84091_230731_133332_s2.hifi_reads.bc1011.bam', 's3://human-pangenomics/working/HPRC/HG00662/raw_data/PacBio_HiFi/m84091_230817_153352_s4.hifi_reads.bc1011.bam']",3,61.5,21,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00662/raw_data/PacBio_HiFi/m84091_230725_161037_s2.hifi_reads.bc1011.bam', 's3://human-pangenomics/working/HPRC/HG00662/raw_data/PacBio_HiFi/m84091_230731_133332_s2.hifi_reads.bc1011.bam', 's3://human-pangenomics/working/HPRC/HG00662/raw_data/PacBio_HiFi/m84091_230817_153352_s4.hifi_reads.bc1011.bam']",3,61.5,"[34.3, 25.2, 2.0]",21,"['Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00701,"['s3://human-pangenomics/working/HPRC/HG00701/raw_data/PacBio_HiFi/m84091_240315_183649_s4.hifi_reads.bc1011.bam', 's3://human-pangenomics/working/HPRC/HG00701/raw_data/PacBio_HiFi/m84091_240311_155513_s4.hifi_reads.bc1011.bam', 's3://human-pangenomics/working/HPRC/HG00701/raw_data/PacBio_HiFi/m84091_240315_190710_s1.hifi_reads.bc1011.bam']",3,66.2,21,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00701/raw_data/PacBio_HiFi/m84091_240311_155513_s4.hifi_reads.bc1011.bam', 's3://human-pangenomics/working/HPRC/HG00701/raw_data/PacBio_HiFi/m84091_240315_183649_s4.hifi_reads.bc1011.bam', 's3://human-pangenomics/working/HPRC/HG00701/raw_data/PacBio_HiFi/m84091_240315_190710_s1.hifi_reads.bc1011.bam']",3,66.2,"[21.3, 24.1, 20.8]",21,"['Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00706,"['s3://human-pangenomics/working/HPRC/HG00706/raw_data/PacBio_HiFi/m84091_230817_140121_s1.hifi_reads.bc1011.bam', 's3://human-pangenomics/working/HPRC/HG00706/raw_data/PacBio_HiFi/primrose/m64055e_210813_141904.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00706/raw_data/PacBio_HiFi/primrose/m64055e_210814_234047.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00706/raw_data/PacBio_HiFi/primrose/m64055e_210731_145204.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00706/raw_data/PacBio_HiFi/primrose/m64055e_210812_050522.5mc.hifi_reads.bam']",5,61.1,12,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00706/raw_data/PacBio_HiFi/primrose/m64055e_210731_145204.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00706/raw_data/PacBio_HiFi/primrose/m64055e_210812_050522.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00706/raw_data/PacBio_HiFi/primrose/m64055e_210813_141904.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00706/raw_data/PacBio_HiFi/primrose/m64055e_210814_234047.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00706/raw_data/PacBio_HiFi/m84091_230817_140121_s1.hifi_reads.bc1011.bam']",5,61.1,"[8.9, 7.8, 9.5, 9.5, 25.4]",12,"['Sequel II', 'Sequel II', 'Sequel II', 'Sequel II', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00738,"['s3://human-pangenomics/working/HPRC/HG00738/raw_data/PacBio_HiFi/m84081_231112_034048_s4.hifi_reads.bc2079.bam', 's3://human-pangenomics/working/HPRC/HG00738/raw_data/PacBio_HiFi/m64043_210601_160048.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00738/raw_data/PacBio_HiFi/m64043_210531_080529.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00738/raw_data/PacBio_HiFi/m64043_210530_003337.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00738/raw_data/PacBio_HiFi/m64136_210602_151340.hifi_reads.bam']",5,64.5,12,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00738/raw_data/PacBio_HiFi/m64043_210530_003337.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00738/raw_data/PacBio_HiFi/m64043_210531_080529.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00738/raw_data/PacBio_HiFi/m64043_210601_160048.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00738/raw_data/PacBio_HiFi/m64136_210602_151340.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG00738/raw_data/PacBio_HiFi/m84081_231112_034048_s4.hifi_reads.bc2079.bam']",5,64.5,"[8.7, 9.0, 9.2, 7.1, 30.5]",12,"['Sequel II', 'Sequel II', 'Sequel II', 'Sequel II', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00867,"['s3://human-pangenomics/working/HPRC/HG00867/raw_data/PacBio_HiFi/m84091_230703_165220_s2.hifi_reads.bc1003.bam', 's3://human-pangenomics/working/HPRC/HG00867/raw_data/PacBio_HiFi/m84091_230629_184115_s3.hifi_reads.bc1003.bam', 's3://human-pangenomics/working/HPRC/HG00867/raw_data/PacBio_HiFi/m84091_230710_183139_s4.hifi_reads.bc1003.bam']",3,62.4,21,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00867/raw_data/PacBio_HiFi/m84091_230629_184115_s3.hifi_reads.bc1003.bam', 's3://human-pangenomics/working/HPRC/HG00867/raw_data/PacBio_HiFi/m84091_230703_165220_s2.hifi_reads.bc1003.bam', 's3://human-pangenomics/working/HPRC/HG00867/raw_data/PacBio_HiFi/m84091_230710_183139_s4.hifi_reads.bc1003.bam']",3,62.39999999999999,"[27.4, 29.2, 5.8]",21,"['Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG01028,"['s3://human-pangenomics/working/HPRC/HG01028/raw_data/PacBio_HiFi/m84046_230724_193107_s2.hifi_reads.bc2094.bam', 's3://human-pangenomics/working/HPRC/HG01028/raw_data/PacBio_HiFi/m84046_230724_190043_s1.hifi_reads.bc2094.bam', 's3://human-pangenomics/working/HPRC/HG01028/raw_data/PacBio_HiFi/m84046_230724_200213_s3.hifi_reads.bc2094.bam', 's3://human-pangenomics/working/HPRC/HG01028/raw_data/PacBio_HiFi/m84046_230728_232723_s1.hifi_reads.bc2094.bam']",4,66.2,16,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG01028/raw_data/PacBio_HiFi/m84046_230724_190043_s1.hifi_reads.bc2094.bam', 's3://human-pangenomics/working/HPRC/HG01028/raw_data/PacBio_HiFi/m84046_230728_232723_s1.hifi_reads.bc2094.bam', 's3://human-pangenomics/working/HPRC/HG01028/raw_data/PacBio_HiFi/m84046_230724_200213_s3.hifi_reads.bc2094.bam', 's3://human-pangenomics/working/HPRC/HG01028/raw_data/PacBio_HiFi/m84046_230724_193107_s2.hifi_reads.bc2094.bam']",4,66.2,"[18.8, 9.3, 18.5, 19.6]",16,"['Revio', 'Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
