2587,,,, ,,,Biomaterial Production,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,ChildID,N,Sex,Subpopulation,Superpopulation,Production Year,Pellets Status: Production,QC: Karyotyping ,QC: OMNI Microarray,Pellets Status: UL Nanopore Production,HiFi Center Information ,HiFi sample received,HiFi data generation,HiFi data  submitted to AnVIL,10X Genomics Center Information ,10X Genomics sample received,10X Genomics data generation,10X Genomics data submitted to AnVIL,BioNano Genomics Center Information,BioNano Genomics sample received,BioNano Genomics data generation,BioNano Genomics data submitted to AnVIL,Nanopore Standard Center Information,Nanopore Standard sample received,Nanopore Standard Unsheared data generation,Nanopore Standard Unsheared data submitted to AnVIL,Nanopore UL Center Information,Nanopore UL sample received,Nanopore UL data generation,Nanopore UL data submitted to AnVIL,Hi-C Center Information,Hi-C sample received,Hi-C data generation,Hi-C data submitted to AnVIL,Strand-seq Center Information,Strand-seq sample received,Strand-seq data generation,Strand-seq data  submitted to AnVIL,Kinnex Center Information,Kinnex sample received,Kinnex data generation,Kinnex data  submitted to AnVIL
11,HG03516,NG107,female,ESN,AFR,YR1,Pellets Banked (12/17/19),Completed (1/27/20),Completed (2/10/20),Pellets Banked (6/9/20),UW,1/7/20,"Topped off, Est. Complete = 63.5X",Complete,,,,,RU,1/7/2020,Complete,Complete,Sample received 01/09/20,,,,UCSC,1/9/20,Complete,Complete,UCSC,01/07/19,Complete,Complete,,,,,WashU,,,
12,HG02572,GB21,male,GWD,AFR,YR1,Pellets Banked (12/17/19),Completed (1/27/20),Completed (2/10/20),Pellets Banked (7/21/20),UW,1/7/20,"Topped off, Est. Complete = 66.6X",Complete,,,,,RU,1/7/2020,Complete,Complete,Sample received 01/09/20,,,,UCSC,1/9/20,Complete,Complete,UCSC,01/07/19,Complete,Complete,,,,,WashU,,,
13,HG02886,GB89,female,GWD,AFR,YR1,Pellets Banked (12/17/19),Completed (1/27/20),Completed (2/10/20),Pellets Banked (5/26/20),WashU,1/7/20,Complete -- 42.9X ,Complete,,,,,RU,1/7/2020,Complete,Complete,Sample received 01/09/20,,,,UCSC,1/9/20,Complete,Complete,UCSC,01/07/19,Complete,Complete,,,,,WashU,,,
14,HG02717,GB50,male,GWD,AFR,YR1,Pellets Banked (12/17/19),Completed (1/27/20),Completed (2/10/20),Pellets Banked (5/26/20),WashU,1/7/20,Complete -- 43.8X ,Complete,,,,,RU,1/7/2020,Complete,Complete,Sample received 01/09/20,,,,UCSC,1/9/20,Complete,Complete,UCSC,01/07/19,Complete,Complete,,,,,WashU,,,
15,HG02630,GB33,female,GWD,AFR,YR1,Pellets Banked (12/17/19),Completed (1/27/20),Completed (2/10/20),Pellets Banked (5/26/20),WashU,1/7/20,Complete -- 47.2X ,Complete,,,,,RU,1/7/2020,Complete,Complete,Sample received 01/09/20,,,,UCSC,1/9/20,Complete,Complete,UCSC,01/07/19,Complete,Complete,,,,,WashU,,,
16,HG02622,GB31,female,GWD,AFR,YR1,Pellets Banked (12/17/19),Completed (1/27/20),Completed (2/10/20),Pellets Banked (7/21/20),WashU,1/7/20,Complete -- 45X ,Complete,,,,,RU,1/7/2020,Complete,Complete,Sample received 01/09/20,,,,UCSC,1/9/20,Complete,Complete,UCSC,01/07/19,Complete,Complete,,,,,WashU,,,
17,HG03540,GB125,female,GWD,AFR,YR1,Pellets Banked (12/17/19),Completed (1/27/20),Completed (2/10/20),Pellets Banked (5/26/20),WashU,1/7/20,Complete -- 47.9X ,Complete,,,,,RU,1/7/2020,Complete,Complete,Sample received 01/09/20,,,,UCSC,1/9/20,Complete,Complete,UCSC,01/07/19,Complete,Complete,,,,,WashU,,,
18,HG03453,SL50,female,MSL,AFR,YR1,Pellets Banked (12/17/19),Completed (1/27/20),Completed (2/10/20),Pellets Banked (7/21/20),WashU,1/7/20,Complete -- 50.1X ,Complete,,,,,RU,1/7/2020,Complete,Complete,Sample received 01/09/20,,,,UCSC,1/9/20,Complete,Complete,UCSC,01/07/19,Complete,Complete,,,,,WashU,,,
19,HG03579,SL72,male,MSL,AFR,YR1,Pellets Banked (12/17/19),Completed (1/27/20),Completed (2/10/20),Pellets Banked (5/26/20),WashU,1/7/20,Complete -- 46.9X,Complete,,,,,RU,1/7/2020,Complete,Complete,Sample received 01/09/20,,,,UCSC,1/9/20,Complete,Complete,UCSC,01/07/19,Complete,Complete,,,,,UW,6/20/2024,Complete -- 11.1M,
20,HG03471,SL56i,male,MSL,AFR,YR1,Pellets Banked (12/17/19),Completed (1/27/20),Completed (2/10/20),Pellets Banked (5/26/20),WashU,1/7/20,Complete -- 49.1X,Complete,,,,,RU,1/7/2020,Complete,Complete,Sample received 01/09/20,,,,UCSC,1/9/20,Complete,Complete,UCSC,01/07/19,Complete,Complete,,,,,UW,6/20/2024,Complete -- 15.1M,
21,HG01978,PEL26,female,PEL,AMR,YR1,Pellets Banked (1/14/20),Completed (2/13/20),Completed (2/10/20),Pellets Banked (6/1/20),WashU,1/23/20,Complete -- 36.7X,Complete,,,,,RU,1/23/2020,Complete,Complete,Sample received 01/22/20,,,,UCSC,1/22/20,Complete,Complete,UCSC,01/023/19,Complete,Complete,,,,,UW,6/20/2024,Complete -- 15.3M,
22,HG01928,PEL011,male,PEL,AMR,YR1,Pellets Banked (1/14/20),Completed (2/13/20),Completed (2/10/20),Pellets Banked (6/1/20),WashU,1/23/20,"Topped off, Est. Complete = 60.1X",Complete,,,,,RU,1/23/2020,Complete,Complete,Sample received 01/22/20,,,,UCSC,1/22/20,Complete,Complete,UCSC,01/023/19,Complete,Complete,,,,,UW,6/20/2024,Complete -- 14.4M,
23,HG02148,PEL39,female,PEL,AMR,YR1,Pellets Banked (1/14/20),Completed (2/13/20),Completed (2/10/20),Pellets Banked (6/1/20),WashU,1/23/20,Complete -- 38.5X,Complete,,,,,RU,1/23/2020,Complete,,Sample received 01/22/20,,,,UCSC,1/22/20,Complete,Complete,UCSC,01/023/19,Complete,Complete,,,,,UW,6/20/2024,Complete -- 11M,
24,HG01998,PEL31,male,PEL,AMR,Fail Karyo,Pellets Banked (1/14/20),Completed (2/13/20),Completed (2/10/20),Pellets Banked (6/1/20),WashU,1/23/20,on hold (karyotype report),,,,,,RU,1/23/2020,on hold (karyotype report),,Sample received 01/22/20,,,,UCSC,1/22/20,,,UCSC,01/023/19,dropped (abnormal karyotype),,,,,,,,,
25,HG01952,PEL019,male,PEL,AMR,YR1,Pellets Banked (1/14/20),Completed (2/13/20),Completed (2/10/20),Pellets Banked (6/1/20),WashU,1/23/20,Complete -- 40.0X,Complete,,,,,RU,1/23/2020,Complete,Complete,Sample received 01/22/20,,,,UCSC,1/22/20,Complete,Complete,UCSC,01/023/19,Complete,Complete,,,,,UW,6/20/2024,Complete -- 15.5M,
26,HG01106,PR25,male,PUR,AMR,YR1,Pellets Banked (1/14/20),Completed (2/13/20),Completed (2/10/20),Pellets Banked (6/1/20),WashU,1/23/20,Complete -- 45.3X,Complete,,,,,RU,1/23/2020,Complete,Complete,Sample received 01/22/20,,,,UCSC,1/22/20,Complete,Complete,UCSC,01/023/19,Complete,Complete,,,,,UW,6/20/2024,Complete -- 15.9M,
27,HG01175,PR36,female,PUR,AMR,YR1,Pellets Banked (1/14/20),Completed (2/13/20),Completed (2/10/20),Pellets Banked (6/1/20),WashU,1/23/20,Complete -- 35.0X,Complete,,,,,RU,1/23/2020,Complete,Complete,Sample received 01/22/20,,,,UCSC,1/22/20,Complete,Complete,UCSC,01/023/19,Complete,Complete,,,,,UW,6/20/2024,Complete -- 16.3M,
28,HG00741,PR09,female,PUR,AMR,YR1,Pellets Banked (1/14/20),Completed (2/13/20),Completed (2/10/20),Pellets Banked (7/21/20),WashU,1/23/20,Complete -- 37.3X,Complete,,,,,RU,1/23/2020,Complete,Complete,Sample received 01/22/20,,,,UCSC,1/22/20,Complete,Complete,UCSC,01/023/19,Complete,Complete,,,,,UW,6/20/2024,Complete -- 10.2M,
29,HG00735,PR06,female,PUR,AMR,YR1,Pellets Banked (1/14/20),Completed (2/13/20),Completed (2/10/20),Pellets Banked (6/1/20),WashU,1/23/20,Complete -- 41.7X,Complete,,,,,RU,1/23/2020,Complete,Complete,Sample received 01/22/20,,,,UCSC,1/22/20,Complete,Complete,UCSC,01/023/19,Complete,Complete,,,,,UW,6/20/2024,Complete -- 12.2M,
30,HG01071,PR17,female,PUR,AMR,YR1,Pellets Banked (1/14/20),Completed (2/13/20),Completed (2/10/20),Pellets Banked (6/1/20),WashU,1/23/20,Complete -- 34.0X,Complete,,,,,RU,1/23/2020,Complete,Complete,Sample received 01/22/20,,,,UCSC,1/22/20,Complete,Complete,UCSC,01/023/19,Complete,Complete,,,,,UW,6/20/2024,Complete -- 14.8M,
31,HG00480,SH026,male,CHS,EAS,Fail Karyo,Pellets Banked (3/24/20),Completed (4/20/20),,Pellets Banked (6/9/20),WashU,6/18/20,fail karyo,,,,,,RU,7/15/2020,on hold,,,,,,UCSC,8/19/20,,,UCSC,07/01/20,dropped (abnormal karyotype),,,,,,,,,
32,HG00621,SH066,male,CHS,EAS,YR1,Pellets Banked (3/24/20),Completed (4/20/20),,Pellets Banked (6/9/20),WashU,6/18/20,Complete -- 38.3X,Complete,,,,,RU,7/15/2020,Complete,,,,,,UCSC,8/19/20,Complete,Complete,UCSC,07/01/20,Complete,Complete,,,,,UW,6/20/2024,Complete -- 15.6M,
33,HG00438,SH012,female,CHS,EAS,YR1,Pellets Banked (3/24/20),Completed (4/21/20),,Pellets Banked (6/9/20),WashU,6/18/20,Complete -- 39.8X,Complete,,,,,RU,7/15/2020,Complete,,,,,,UCSC,8/19/20,Complete,Complete,UCSC,07/01/20,Complete,Complete,,,,,UW,6/20/2024,Complete -- 14.3M,
34,HG00673,SH079,male,CHS,EAS,YR1,Pellets Banked (3/24/20),Completed (4/20/20),,Pellets Banked (6/9/20),WashU,6/18/20,Complete -- 38.3X,Complete,,,,,RU,7/15/2020,Complete,,,,,,UCSC,8/19/20,Complete,Complete,UCSC,07/01/20,Complete,Complete,,,,,UW,6/20/2024,Complete -- 10.3M,
35,HG00423,SH007,female,CHS,EAS,YR2,Pellets Banked (3/2420),Completed (4/11/20),,Pellets Banked (6/9/20),WashU,6/18/20,Complete -- 60.8X,Complete,,,,,RU,7/15/2020,,,,,,,UCSC,8/19/20,Complete,Complete,UCSC,07/01/20,Basecalled,,,,,,UW,6/20/2024,Complete -- 12.2M,
36,HG00411 ,SH003,male,CHS,EAS,no Broad Illumina,Pellets Banked (3/24/20),Completed (4/20/20),,Pellets Banked (6/9/20),,6/18/20,no Broad Illumina,,,,,,RU,7/15/2020,,,,,,,UCSC,8/19/20,,,UCSC,07/01/20,,,,,,,,,,
37,HG00730,SH098,female,CHS,EAS,"Fail Karyo, no Broad Illumina",Pellets Banked (3/24/20),Completed (4/17/20),,Pellets Banked (6/9/20),,6/18/20,"fail karyo, no Broad Illumina",,,,,,RU,7/15/2020,on hold?,,,,,,UCSC,8/19/20,,,UCSC,07/01/20,,,,,,,,,,
38,HG02027,VN050,male,KHV,EAS,YR2,Pellets Banked (3/24/20),Completed (4/17/20),,Pellets Banked (6/9/20),WashU,6/18/20,Complete -- 67.7X,Complete,,,,,RU,7/15/2020,,,,,,,UCSC,8/19/20,Complete,Complete,UCSC,07/01/20,Basecalled,,,,,,UW,6/20/2024,Complete -- 11.7M,
39,HG02083,VN069,male,KHV,EAS,YR2,Pellets Banked (3/24/20),Completed (4/20/20),,Pellets Banked (7/1/20),WashU,6/18/20,Complete -- 65X,Complete,,,,,RU,7/15/2020,,,,,,,UCSC,8/19/20,Complete,Complete,UCSC,07/01/20,Basecalled,,,,,,UW,6/20/2024,Complete -- 14.3M,
40,HG02523,VN090,female,KHV,EAS,YR2,Pellets Banked (3/24/20),Completed (4/20/20),,Pellets Banked (6/9/20),WashU,6/18/20,Complete -- 65.7X,Complete,,,,,RU,7/15/2020,,,,,,,UCSC,8/19/20,Complete,Complete,UCSC,07/01/20,Basecalled,,,,,,UW,6/20/2024,Complete -- 15.1M,
41,HG02132,VN080,male,KHV,EAS,YR2,Pellets Banked (12/21/20),Completed (1/24/21),Completed (2/16/21),Pellets Banked (12/21/20),UW,1/21/21,"Topped off, Complete -- 66.7X",Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,10/26/21,,,,,,UW,6/20/2024,Complete -- 13.4M,
42,HG02135,VN081,male,KHV,EAS,YR2,Pellets Banked (12/21/20),Completed (1/24/21),Completed (2/16/21),Pellets Banked (12/21/20),UW,1/21/21,"Topped off, Est. Complete = 60.3X",Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,9/15/21,,,,,,UW,6/20/2024,Complete -- 14.6M,
43,HG02074,VN066,male,KHV,EAS,YR2,Pellets Banked (11/4/20),Completed (12/23/20),Completed (2/16/21),Pellets Banked (11/4/20),UW,1/21/21,"Topped off, Est. Complete = 71.7X",Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,9/15/21,,,,,,UW,6/20/2024,Complete -- 11.6M,
44,HG02071,VN065,male,KHV,EAS,YR2,Pellets Banked (11/4/20),Completed (11/24/20),Completed (2/16/21),Pellets Banked (11/4/20),UW,1/21/21,"Topped off, Est. Complete = 61.6X",Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,9/15/21,,,,,,UW,6/20/2024,Complete -- 14.8M,
45,HG03942,BD42,male,BEB,SAS,YR2,Pellets Banked (11/4/20),Completed (12/23/20),Completed (2/16/21),Pellets Banked (11/4/20),UW,1/21/21,"Topped off, Est. Complete = 62.4X",Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,9/15/21,,,,,,UW,6/20/2024,Complete -- 14.6M,
46,HG04187,BD62,male,BEB,SAS,YR2,Pellets Banked (11/4/20),Completed (12/23/20),Completed (2/16/21),Pellets Banked (11/4/20),RU,1/21/21,"Topped off, Est. Complete 62x",Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,9/15/21,,,,,,UW,6/20/2024,Complete -- 14.3M,
47,HG03804,BD18,female,BEB,SAS,YR2,Pellets Banked (11/4/20),Completed (12/23/20),Completed (2/16/21),Pellets Banked (11/4/20),RU,1/21/21,"Topped off, Est. Complete 68x",Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,9/15/21,,,,,,WashU,,,
48,HG04160,BD53,male,BEB,SAS,YR2,Pellets Banked (11/4/20),Completed (12/23/20),Completed (2/16/21),Pellets Banked (11/4/20),RU,1/21/21,"Topped off, Est. Complete 59x",Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,9/15/21,,,,,,WashU,,,
49,HG04157,BD52,male,BEB,SAS,YR2,Pellets Banked (11/4/20),Completed (12/23/20),Completed (2/16/21),Pellets Banked (11/4/20),RU,1/21/21,"Topped off, Est. Complete 60x",Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,10/26/21,,,,,,WashU,,,
50,HG03816,BD22,female,BEB,SAS,YR2,Pellets Banked (11/4/20),Completed (1/24/21),Completed (2/16/21),Pellets Banked (11/4/20),RU,1/21/21,"Topped off, Est. Complete 60x",Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,10/26/21,,,,,,WashU,,,
51,HG03710,PK62,male,PJL,SAS,YR2,Pellets Banked (11/9/20),Completed (1/24/21),Completed (2/16/21),Pellets Banked (11/9/20),WashU,1/21/21,Complete -- 76.7X,Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,Sent to Illumina - 1/13/22,,,,,,WashU,,,
52,HG02602,PK09,male,PJL,SAS,YR2,Pellets Banked (11/9/20),Completed (2/1/21),Completed (2/16/21),Pellets Banked (11/9/20),WashU,1/21/21,Complete -- 65.0X,Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,9/15/21,,,,,,WashU,,,
53,HG03654,PK53,male,PJL,SAS,YR2,Pellets Banked (11/9/20),Completed (1/18/21),Completed (2/16/21),Pellets Banked (11/9/20),WashU,1/21/21,Complete -- 66.1X,Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,Sent to Illumina - 1/13/22,,,,,,WashU,,,
54,HG02698,PK21,male,PJL,SAS,YR2,Pellets Banked (11/9/20),Completed (2/1/21),Completed (2/16/21),Pellets Banked (11/9/20),WashU,1/21/21,Complete -- 71.4X,Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,9/15/21,,,,,,WashU,,,
55,HG02662,PK15,female,PJL,SAS,Fail Karyo,Pellets Banked (11/9/20),Completed (1/24/21),Completed (2/16/21),Pellets Banked (11/9/20),WashU,1/21/21,fail karyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,HG04228,ST232,male,STU,SAS,YR2,Pellets Banked (11/9/20),Completed (1/18/21),Completed (2/16/21),Pellets Banked (11/9/20),UW,1/21/21,"Topped off, Est. Complete = 63.4X",Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,10/26/21,,,,,,WashU,,,
57,HG03688,ST016,male,STU,SAS,YR2,Pellets Banked (11/9/20),Completed (1/24/21),Completed (2/16/21),Pellets Banked (11/9/20),UW,1/21/21,"Topped off, Complete -- 61.9X",Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,Sent to Illumina - 1/13/22,,,,,,WashU,,,
58,HG04204,ST006,male,STU,SAS,YR2,Pellets Banked (11/9/20),Completed (1/18/21),Completed (2/16/21),Pellets Banked (11/9/20),UW,1/21/21,"Topped off, Est. Complete = 65.1X",Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,10/26/21,,,,,,WashU,,,
59,HG04199,ST203,male,STU,SAS,YR2,Pellets Banked (11/9/20),Completed (1/18/21),Completed (2/16/21),Pellets Banked (11/9/20),UW,1/21/21,"Topped off, Complete -- 67.6X",Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,9/15/21,,,,,,WashU,,,
60,HG04115,ST111,male,STU,SAS,YR2,Pellets Banked (11/9/20),Completed (1/18/21),Completed (2/16/21),Pellets Banked (11/9/20),UW,1/21/21,"Topped off, Complete -- 69X",Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,9/15/21,,,,,,WashU,,,
61,HG02668,GB40,male,GWD,AFR,YR2,Pellets Banked (12/8/20),Completed (3/1/21),Completed (2/16/21),Pellets Banked (12/8/20),RU,1/21/21,"Topped off, Complete -- 65X",Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,9/15/21,,,,,,WashU,,,
62,HG00706,SH090,male,CHS,EAS,YR2,Pellets Banked (12/8/20),Completed (2/14/21),Completed (2/16/21),Pellets Banked (12/8/20),RU,1/21/21,"Topped off, Complete -- 61X",Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,9/15/21,,,,,,WashU,,,
63,HG03825,BD25,female,BEB,SAS,"Fail Karyo
Eval HPRC+?",Pellets Banked (12/8/20),Completed (3/8/21),Completed (2/16/21),Pellets Banked (12/8/20),RU,1/21/21,Complete -- 33.6X,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,HG02656,PK13,male,PJL,SAS,"Fail Karyo
Eval HPRC+?",Pellets Banked (12/10/20),Completed (3/1/21),Completed (2/16/21),Pellets Banked (12/10/20),RU,1/21/21,Complete -- 38.5X [4 cells],Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,HG01887,BB04,male,ACB,AFR,"Fail Karyo
Eval HPRC+?",Pellets Banked (12/8/20),Completed (3/1/21),Completed (2/16/21),Pellets Banked (12/8/20),RU,1/21/21,Complete -- 34.9X [4 cells],Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,HG00544,SH042,female,CHS,EAS,YR2,Pellets Banked (12/8/20),Completed (2/1/21),Completed (2/16/21),Pellets Banked (12/8/20),WashU,1/21/21,Complete -- 66.6X,Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,10/26/21,,,,,,WashU,,,
67,HG03669,PK58,female,PJL,SAS,YR2,Pellets Banked (12/8/20),Completed (3/1/21),Completed (2/16/21),Pellets Banked (12/8/20),WashU,1/21/21,Complete -- 71.8X,Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,9/15/21,,,,,,WashU,,,
68,HG01255,CLM15,male,CLM,AMR,YR2,Pellets Banked (12/8/20),Completed (2/14/21),Completed (2/16/21),Pellets Banked (12/8/20),WashU,1/21/21,Complete -- 70.2X,Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,9/15/21,,,,,,WashU,,,
69,HG02615,GB29,female,GWD,AFR,YR2,Pellets Banked (12/8/20),Completed (3/1/21),Completed (2/16/21),Pellets Banked (12/8/20),WashU,1/21/21,Complete -- 71.1X,Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,9/15/21,,,,,,WashU,,,
70,HG00738,PR07,male,PUR,AMR,YR2,Pellets Banked (12/8/20),Completed (2/14/21),Completed (2/16/21),Pellets Banked (12/8/20),WashU,1/21/21,Complete -- 68.6X,Complete,,,,,,,,,,,,,UCSC,4/13/21,Complete,Complete,UCSC,1/27/2021,9/15/21,,,,,,WashU,,,
71,HG01439,CLM45,female,CLM,AMR,Fail Karyo,Pellets Banked (2/3/21),Completed (3/22/21),Completed (3/11/21),Pellets Banked (2/3/21),,,fail karyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,HG03927,BD37,female,BEB,SAS,YR2,Pellets Banked (2/3/21),Completed (4/5/21),Completed (4/12/21),Pellets Banked (2/3/21),UW,4/22/21,"Topped off, Complete -- 60X",Complete,,,,,,,,,,,,,UCSC,5/4/21,Complete,Complete,UCSC,5/5/2021,9/15/21,,,,,,WashU,,,
