biosample_accession	sample_name	haplotype	bioproject_accession	bioproject_description	umbrella_bp	filename	assembly_date	assembly_name	assembly_method	assembly_method_version	genome_coverage	sequencing_technology	reference_genome	update_for
SAMN37797097	HG01150	paternal		Assembly of HG01150 paternal haplotype.		HG01150.hap1_for_genbank.fa.gz	2024-09	HG01150_pat_hprc_f2	Hifiasm	0.19.9	67X	"PacBio, Oxford Nanopore"		
SAMN33758783	HG01081	paternal		Assembly of HG01081 paternal haplotype.		HG01081.hap1_for_genbank.fa.gz	2024-09	HG01081_pat_hprc_f2	Hifiasm	0.19.9	61X	"PacBio, Oxford Nanopore"		
SAMN33758781	HG00639	paternal		Assembly of HG00639 paternal haplotype.		HG00639.hap1_for_genbank.fa.gz	2024-09	HG00639_pat_hprc_f2	Hifiasm	0.19.9	64X	"PacBio, Oxford Nanopore"		
SAMN33758780	HG00558	paternal		Assembly of HG00558 paternal haplotype.		HG00558.hap1_for_genbank.fa.gz	2024-09	HG00558_pat_hprc_f2	Hifiasm	0.19.9	63X	"PacBio, Oxford Nanopore"		
SAMN26267391	HG04228	paternal		Assembly of HG04228 paternal haplotype.		HG04228.hap1_for_genbank.fa.gz	2024-09	HG04228_pat_hprc_f2	Hifiasm	0.19.9	73X	"PacBio, Oxford Nanopore"		
SAMN26267390	HG04204	paternal		Assembly of HG04204 paternal haplotype.		HG04204.hap1_for_genbank.fa.gz	2024-09	HG04204_pat_hprc_f2	Hifiasm	0.19.9	63X	"PacBio, Oxford Nanopore"		
SAMN37706910	HG04160	paternal		Assembly of HG04160 paternal haplotype.		HG04160.hap1_for_genbank.fa.gz	2024-09	HG04160_pat_hprc_f2	Hifiasm	0.19.9	59X	"PacBio, Oxford Nanopore"		
SAMN37706909	HG04157	paternal		Assembly of HG04157 paternal haplotype.		HG04157.hap1_for_genbank.fa.gz	2024-09	HG04157_pat_hprc_f2	Hifiasm	0.19.9	60X	"PacBio, Oxford Nanopore"		
SAMN26267387	HG03942	paternal		Assembly of HG03942 paternal haplotype.		HG03942.hap1_for_genbank.fa.gz	2024-09	HG03942_pat_hprc_f2	Hifiasm	0.19.9	71X	"PacBio, Oxford Nanopore"		
SAMN37706908	HG03816	paternal		Assembly of HG03816 paternal haplotype.		HG03816.hap1_for_genbank.fa.gz	2024-09	HG03816_pat_hprc_f2	Hifiasm	0.19.9	60X	"PacBio, Oxford Nanopore"		
SAMN37706907	HG03804	paternal		Assembly of HG03804 paternal haplotype.		HG03804.hap1_for_genbank.fa.gz	2024-09	HG03804_pat_hprc_f2	Hifiasm	0.19.9	70X	"PacBio, Oxford Nanopore"		
SAMN26237510	HG02809	paternal		Assembly of HG02809 paternal haplotype.		HG02809.hap1_for_genbank.fa.gz	2024-09	HG02809_pat_hprc_f2	Hifiasm	0.19.9	74X	"PacBio, Oxford Nanopore"		
SAMN26267392	HG02135	paternal		Assembly of HG02135 paternal haplotype.		HG02135.hap1_for_genbank.fa.gz	2024-09	HG02135_pat_hprc_f2	Hifiasm	0.19.9	70X	"PacBio, Oxford Nanopore"		
SAMN26267381	HG02074	paternal		Assembly of HG02074 paternal haplotype.		HG02074.hap1_for_genbank.fa.gz	2024-09	HG02074_pat_hprc_f2	Hifiasm	0.19.9	71X	"PacBio, Oxford Nanopore"		
SAMN26267380	HG02071	paternal		Assembly of HG02071 paternal haplotype.		HG02071.hap1_for_genbank.fa.gz	2024-09	HG02071_pat_hprc_f2	Hifiasm	0.19.9	70X	"PacBio, Oxford Nanopore"		
SAMN37706905	HG00706	paternal		Assembly of HG00706 paternal haplotype.		HG00706.hap1_for_genbank.fa.gz	2024-09	HG00706_pat_hprc_f2	Hifiasm	0.19.9	61X	"PacBio, Oxford Nanopore"		
SAMN17861652	HG00438	paternal	PRJNA726272		PRJNA727267	HG00438.hap1_for_genbank.fa.gz	2024-09	HG00438_pat_hprc_f2	Hifiasm	0.19.9	77X	"PacBio, Oxford Nanopore"		
SAMN17861654	HG00673	paternal	PRJNA726270		PRJNA727266	HG00673.hap1_for_genbank.fa.gz	2024-09	HG00673_pat_hprc_f2	Hifiasm	0.19.9	61X	"PacBio, Oxford Nanopore"		
SAMN17861657	HG01071	paternal	PRJNA726276		PRJNA727269	HG01071.hap1_for_genbank.fa.gz	2024-09	HG01071_pat_hprc_f2	Hifiasm	0.19.9	91X	"PacBio, Oxford Nanopore"		
SAMN17861232	HG01123	paternal	PRJNA725609		PRJNA727244	HG01123.hap1_for_genbank.fa.gz	2024-09	HG01123_pat_hprc_f2	Hifiasm	0.19.9	72X	"PacBio, Oxford Nanopore"		
SAMN17861234	HG01358	paternal	PRJNA725611		PRJNA727245	HG01358.hap1_for_genbank.fa.gz	2024-09	HG01358_pat_hprc_f2	Hifiasm	0.19.9	60X	"PacBio, Oxford Nanopore"		
SAMN17861235	HG01361	paternal	PRJNA725607		PRJNA727242	HG01361.hap1_for_genbank.fa.gz	2024-09	HG01361_pat_hprc_f2	Hifiasm	0.19.9	120X	"PacBio, Oxford Nanopore"		
SAMN17861660	HG01928	paternal	PRJNA726173		PRJNA727254	HG01928.hap1_for_genbank.fa.gz	2024-09	HG01928_pat_hprc_f2	Hifiasm	0.19.9	90X	"PacBio, Oxford Nanopore"		
SAMN17861662	HG01978	paternal	PRJNA726175		PRJNA727255	HG01978.hap1_for_genbank.fa.gz	2024-09	HG01978_pat_hprc_f2	Hifiasm	0.19.9	87X	"PacBio, Oxford Nanopore"		
SAMN17861237	HG02257	paternal	PRJNA723016		PRJNA727229	HG02257.hap1_for_genbank.fa.gz	2024-09	HG02257_pat_hprc_f2	Hifiasm	0.19.9	68X	"PacBio, Oxford Nanopore"		
SAMN17861666	HG02717	paternal	PRJNA725858		PRJNA727250	HG02717.hap1_for_genbank.fa.gz	2024-09	HG02717_pat_hprc_f2	Hifiasm	0.19.9	82X	"PacBio, Oxford Nanopore"		
SAMN17861241	HG03516	paternal	"PRJNA725603	"		PRJNA727236	HG03516.hap1_for_genbank.fa.gz	2024-09	HG03516_pat_hprc_f2	Hifiasm	0.19.9	92X	"PacBio, Oxford Nanopore"		
SAMN17861671	HG03579	paternal	PRJNA726177		PRJNA727256	HG03579.hap1_for_genbank.fa.gz	2024-09	HG03579_pat_hprc_f2	Hifiasm	0.19.9	84X	"PacBio, Oxford Nanopore"		
SAMN33758789	HG03017	maternal		Assembly of HG03017 maternal haplotype.		HG03017.hap2_for_genbank.fa.gz	2024-09	HG03017_mat_hprc_f2	Hifiasm	0.19.9	62X	"PacBio, Oxford Nanopore"		
SAMN37706906	HG02668	maternal		Assembly of HG02668 maternal haplotype.		HG02668.hap2_for_genbank.fa.gz	2024-09	HG02668_mat_hprc_f2	Hifiasm	0.19.9	65X	"PacBio, Oxford Nanopore"		
SAMN26237498	HG01934	maternal		Assembly of HG01934 maternal haplotype.		HG01934.hap2_for_genbank.fa.gz	2024-09	HG01934_mat_hprc_f2	Hifiasm	0.19.9	78X	"PacBio, Oxford Nanopore"		
SAMN37797098	HG01252	maternal		Assembly of HG01252 maternal haplotype.		HG01252.hap2_for_genbank.fa.gz	2024-09	HG01252_mat_hprc_f2	Hifiasm	0.19.9	58X	"PacBio, Oxford Nanopore"		
SAMN33758782	HG01074	maternal		Assembly of HG01074 maternal haplotype.		HG01074.hap2_for_genbank.fa.gz	2024-09	HG01074_mat_hprc_f2	Hifiasm	0.19.9	64X	"PacBio, Oxford Nanopore"		
SAMN37797096	HG00658	maternal		Assembly of HG00658 maternal haplotype.		HG00658.hap2_for_genbank.fa.gz	2024-09	HG00658_mat_hprc_f2	Hifiasm	0.19.9	68X	"PacBio, Oxford Nanopore"		
SAMN33758794	HG03239	maternal		Assembly of HG03239 maternal haplotype.		HG03239.hap2_for_genbank.fa.gz	2024-09	HG03239_mat_hprc_f2	Hifiasm	0.19.9	61X	"PacBio, Oxford Nanopore"		
SAMN33758790	HG03041	maternal		Assembly of HG03041 maternal haplotype.		HG03041.hap2_for_genbank.fa.gz	2024-09	HG03041_mat_hprc_f2	Hifiasm	0.19.9	59X	"PacBio, Oxford Nanopore"		
SAMN37797103	HG01969	maternal		Assembly of HG01969 maternal haplotype.		HG01969.hap2_for_genbank.fa.gz	2024-09	HG01969_mat_hprc_f2	Hifiasm	0.19.9	59X	"PacBio, Oxford Nanopore"		
SAMN37797102	HG01960	maternal		Assembly of HG01960 maternal haplotype.		HG01960.hap2_for_genbank.fa.gz	2024-09	HG01960_mat_hprc_f2	Hifiasm	0.19.9	57X	"PacBio, Oxford Nanopore"		
SAMN37797101	HG01940	maternal		Assembly of HG01940 maternal haplotype.		HG01940.hap2_for_genbank.fa.gz	2024-09	HG01940_mat_hprc_f2	Hifiasm	0.19.9	63X	"PacBio, Oxford Nanopore"		
SAMN37797097	HG01150	maternal		Assembly of HG01150 maternal haplotype.		HG01150.hap2_for_genbank.fa.gz	2024-09	HG01150_mat_hprc_f2	Hifiasm	0.19.9	67X	"PacBio, Oxford Nanopore"		
SAMN33758783	HG01081	maternal		Assembly of HG01081 maternal haplotype.		HG01081.hap2_for_genbank.fa.gz	2024-09	HG01081_mat_hprc_f2	Hifiasm	0.19.9	61X	"PacBio, Oxford Nanopore"		
SAMN33758781	HG00639	maternal		Assembly of HG00639 maternal haplotype.		HG00639.hap2_for_genbank.fa.gz	2024-09	HG00639_mat_hprc_f2	Hifiasm	0.19.9	64X	"PacBio, Oxford Nanopore"		
SAMN33758780	HG00558	maternal		Assembly of HG00558 maternal haplotype.		HG00558.hap2_for_genbank.fa.gz	2024-09	HG00558_mat_hprc_f2	Hifiasm	0.19.9	63X	"PacBio, Oxford Nanopore"		
SAMN26267391	HG04228	maternal		Assembly of HG04228 maternal haplotype.		HG04228.hap2_for_genbank.fa.gz	2024-09	HG04228_mat_hprc_f2	Hifiasm	0.19.9	73X	"PacBio, Oxford Nanopore"		
SAMN26267390	HG04204	maternal		Assembly of HG04204 maternal haplotype.		HG04204.hap2_for_genbank.fa.gz	2024-09	HG04204_mat_hprc_f2	Hifiasm	0.19.9	63X	"PacBio, Oxford Nanopore"		
SAMN37706910	HG04160	maternal		Assembly of HG04160 maternal haplotype.		HG04160.hap2_for_genbank.fa.gz	2024-09	HG04160_mat_hprc_f2	Hifiasm	0.19.9	59X	"PacBio, Oxford Nanopore"		
SAMN37706909	HG04157	maternal		Assembly of HG04157 maternal haplotype.		HG04157.hap2_for_genbank.fa.gz	2024-09	HG04157_mat_hprc_f2	Hifiasm	0.19.9	60X	"PacBio, Oxford Nanopore"		
SAMN26267387	HG03942	maternal		Assembly of HG03942 maternal haplotype.		HG03942.hap2_for_genbank.fa.gz	2024-09	HG03942_mat_hprc_f2	Hifiasm	0.19.9	71X	"PacBio, Oxford Nanopore"		
SAMN37706908	HG03816	maternal		Assembly of HG03816 maternal haplotype.		HG03816.hap2_for_genbank.fa.gz	2024-09	HG03816_mat_hprc_f2	Hifiasm	0.19.9	60X	"PacBio, Oxford Nanopore"		
SAMN37706907	HG03804	maternal		Assembly of HG03804 maternal haplotype.		HG03804.hap2_for_genbank.fa.gz	2024-09	HG03804_mat_hprc_f2	Hifiasm	0.19.9	70X	"PacBio, Oxford Nanopore"		
SAMN26237510	HG02809	maternal		Assembly of HG02809 maternal haplotype.		HG02809.hap2_for_genbank.fa.gz	2024-09	HG02809_mat_hprc_f2	Hifiasm	0.19.9	74X	"PacBio, Oxford Nanopore"		
SAMN26267392	HG02135	maternal		Assembly of HG02135 maternal haplotype.		HG02135.hap2_for_genbank.fa.gz	2024-09	HG02135_mat_hprc_f2	Hifiasm	0.19.9	70X	"PacBio, Oxford Nanopore"		
SAMN26267381	HG02074	maternal		Assembly of HG02074 maternal haplotype.		HG02074.hap2_for_genbank.fa.gz	2024-09	HG02074_mat_hprc_f2	Hifiasm	0.19.9	71X	"PacBio, Oxford Nanopore"		
SAMN26267380	HG02071	maternal		Assembly of HG02071 maternal haplotype.		HG02071.hap2_for_genbank.fa.gz	2024-09	HG02071_mat_hprc_f2	Hifiasm	0.19.9	70X	"PacBio, Oxford Nanopore"		
SAMN37706905	HG00706	maternal		Assembly of HG00706 maternal haplotype.		HG00706.hap2_for_genbank.fa.gz	2024-09	HG00706_mat_hprc_f2	Hifiasm	0.19.9	61X	"PacBio, Oxford Nanopore"		
SAMN17861652	HG00438	maternal	PRJNA726273		PRJNA727267	HG00438.hap2_for_genbank.fa.gz	2024-09	HG00438_mat_hprc_f2	Hifiasm	0.19.9	77X	"PacBio, Oxford Nanopore"		
SAMN17861654	HG00673	maternal	PRJNA726271		PRJNA727266	HG00673.hap2_for_genbank.fa.gz	2024-09	HG00673_mat_hprc_f2	Hifiasm	0.19.9	61X	"PacBio, Oxford Nanopore"		
SAMN17861657	HG01071	maternal	PRJNA726277		PRJNA727269	HG01071.hap2_for_genbank.fa.gz	2024-09	HG01071_mat_hprc_f2	Hifiasm	0.19.9	91X	"PacBio, Oxford Nanopore"		
SAMN17861232	HG01123	maternal	PRJNA725610		PRJNA727244	HG01123.hap2_for_genbank.fa.gz	2024-09	HG01123_mat_hprc_f2	Hifiasm	0.19.9	72X	"PacBio, Oxford Nanopore"		
SAMN17861234	HG01358	maternal	PRJNA725612		PRJNA727245	HG01358.hap2_for_genbank.fa.gz	2024-09	HG01358_mat_hprc_f2	Hifiasm	0.19.9	60X	"PacBio, Oxford Nanopore"		
SAMN17861235	HG01361	maternal	PRJNA725608		PRJNA727242	HG01361.hap2_for_genbank.fa.gz	2024-09	HG01361_mat_hprc_f2	Hifiasm	0.19.9	120X	"PacBio, Oxford Nanopore"		
SAMN17861660	HG01928	maternal	PRJNA726174		PRJNA727254	HG01928.hap2_for_genbank.fa.gz	2024-09	HG01928_mat_hprc_f2	Hifiasm	0.19.9	90X	"PacBio, Oxford Nanopore"		
SAMN17861662	HG01978	maternal	PRJNA726176		PRJNA727255	HG01978.hap2_for_genbank.fa.gz	2024-09	HG01978_mat_hprc_f2	Hifiasm	0.19.9	87X	"PacBio, Oxford Nanopore"		
SAMN17861237	HG02257	maternal	PRJNA723017		PRJNA727229	HG02257.hap2_for_genbank.fa.gz	2024-09	HG02257_mat_hprc_f2	Hifiasm	0.19.9	68X	"PacBio, Oxford Nanopore"		
SAMN17861666	HG02717	maternal	PRJNA725859		PRJNA727250	HG02717.hap2_for_genbank.fa.gz	2024-09	HG02717_mat_hprc_f2	Hifiasm	0.19.9	82X	"PacBio, Oxford Nanopore"		
SAMN17861241	HG03516	maternal	PRJNA725604		PRJNA727236	HG03516.hap2_for_genbank.fa.gz	2024-09	HG03516_mat_hprc_f2	Hifiasm	0.19.9	92X	"PacBio, Oxford Nanopore"		
SAMN17861671	HG03579	maternal	PRJNA726178		PRJNA727256	HG03579.hap2_for_genbank.fa.gz	2024-09	HG03579_mat_hprc_f2	Hifiasm	0.19.9	84X	"PacBio, Oxford Nanopore"		
