sample_id,included in cyto data table,biosample_id,population_descriptor,population_abbreviation,trio_available,family_id,paternal_id,maternal_id,sex,tissue,collection,alternative_id,notes,project,contributing_institution
HG00140,TRUE,SAMN33621941,British from England and Scotland,GBR,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG00099,TRUE,SAMN33758778,British from England and Scotland,GBR,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG00235,TRUE,SAMN41021667,British from England and Scotland,GBR,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG00097,TRUE,SAMN41021660,British from England and Scotland,GBR,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG00253,TRUE,SAMN41021666,British from England and Scotland,GBR,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG00126,TRUE,SAMN41021637,British from England and Scotland,GBR,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG00128,TRUE,SAMN41021641,British from England and Scotland,GBR,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG00133,TRUE,SAMN41021638,British from England and Scotland,GBR,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG00232,TRUE,SAMN41021635,British from England and Scotland,GBR,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG00146,TRUE,SAMN41021634,British from England and Scotland,GBR,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG02155,TRUE,SAMN33621951,Chinese Dai in Xishuangbanna,CDX,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG02165,TRUE,SAMN33758785,Chinese Dai in Xishuangbanna,CDX,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG02391,TRUE,SAMN37797104,Chinese Dai in Xishuangbanna,CDX,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02178,TRUE,SAMN41021617,Chinese Dai in Xishuangbanna,CDX,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG02392,TRUE,SAMN41021615,Chinese Dai in Xishuangbanna,CDX,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG01358,TRUE,SAMN17861234,"Colombian in Medellin, Colombia",CLM,TRUE,CLM31,HG01356,HG01357,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG01123,TRUE,SAMN17861232,"Colombian in Medellin, Colombia",CLM,TRUE,CLM02,HG01121,HG01122,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG01361,TRUE,SAMN17861235,"Colombian in Medellin, Colombia",CLM,TRUE,CLM32,HG01359,HG01360,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG01258,TRUE,SAMN17861233,"Colombian in Medellin, Colombia",CLM,TRUE,CLM16,HG01256,HG01257,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG01433,TRUE,SAMN26237496,"Colombian in Medellin, Colombia",CLM,TRUE,CLM43,HG01431,HG01432,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG01346,TRUE,SAMN26267379,"Colombian in Medellin, Colombia",CLM,TRUE,CLM27,HG01344,HG01345,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG01496,TRUE,SAMN26237497,"Colombian in Medellin, Colombia",CLM,TRUE,CLM64,HG01494,HG01495,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG01255,TRUE,SAMN26237495,"Colombian in Medellin, Colombia",CLM,TRUE,CLM15,HG01253,HG01254,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG01261,TRUE,SAMN33621946,"Colombian in Medellin, Colombia",CLM,TRUE,CLM17,HG01259,HG01260,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG01252,TRUE,SAMN37797098,"Colombian in Medellin, Colombia",CLM,TRUE,CLM14,HG01250,HG01251,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG01150,TRUE,SAMN37797097,"Colombian in Medellin, Colombia",CLM,TRUE,CLM12,HG01148,HG01149,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG03516,TRUE,SAMN17861241,Esan in Nigeria,ESN,TRUE,NG107,HG03515,HG03514,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG02922,TRUE,SAMN33758788,Esan in Nigeria,ESN,FALSE,NG06,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG03130,TRUE,SAMN33758791,Esan in Nigeria,ESN,FALSE,NG36,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG03139,TRUE,SAMN33758792,Esan in Nigeria,ESN,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG03195,TRUE,SAMN33621956,Esan in Nigeria,ESN,FALSE,NG58,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG02965,TRUE,SAMN33621954,Esan in Nigeria,ESN,FALSE,NG20,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02976,TRUE,SAMN33621955,Esan in Nigeria,ESN,FALSE,NG24,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG03369,TRUE,SAMN41021668,Esan in Nigeria,ESN,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG03521,TRUE,SAMN41021651,Esan in Nigeria,ESN,FALSE,NG109,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG03270,TRUE,SAMN41021631,Esan in Nigeria,ESN,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG00323,TRUE,SAMN33621942,Finnish in Finland,FIN,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG00280,TRUE,SAMN33758779,Finnish in Finland,FIN,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG00272,TRUE,SAMN41021659,Finnish in Finland,FIN,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG00350,TRUE,SAMN41021654,Finnish in Finland,FIN,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG00344,TRUE,SAMN41021653,Finnish in Finland,FIN,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG00329,TRUE,SAMN41021646,Finnish in Finland,FIN,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG00290,TRUE,SAMN41021639,Finnish in Finland,FIN,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG00321,TRUE,SAMN41021636,Finnish in Finland,FIN,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG00320,TRUE,SAMN41021632,Finnish in Finland,FIN,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG02622,TRUE,SAMN17861664,Gambian in Western Division Ð Mandinka,GWD,TRUE,GB31,HG02620,HG02621,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG03540,TRUE,SAMN17861670,Gambian in Western Division Ð Mandinka,GWD,TRUE,GB125,HG03538,HG03539,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG02572,TRUE,SAMN17861240,Gambian in Western Division Ð Mandinka,GWD,TRUE,GB21,HG02570,HG02571,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02886,TRUE,SAMN17861667,Gambian in Western Division Ð Mandinka,GWD,TRUE,GB89,HG02884,HG02885,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG02717,TRUE,SAMN17861666,Gambian in Western Division Ð Mandinka,GWD,TRUE,GB50,HG02715,HG02716,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02630,TRUE,SAMN17861665,Gambian in Western Division Ð Mandinka,GWD,TRUE,GB33,HG02628,HG02629,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG02647,TRUE,SAMN26267383,Gambian in Western Division Ð Mandinka,GWD,TRUE,GB38,HG02645,HG02646,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02809,TRUE,SAMN26237510,Gambian in Western Division Ð Mandinka,GWD,TRUE,GB63,HG02807,HG02808,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG02615,TRUE,SAMN26237508,Gambian in Western Division Ð Mandinka,GWD,TRUE,GB29,HG02613,HG02614,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG02668,TRUE,SAMN37706906,Gambian in Western Division Ð Mandinka,GWD,TRUE,GB40,HG02666,HG02667,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG03041,TRUE,SAMN33758790,Gambian in Western Division Ð Mandinka,GWD,TRUE,GB110,HG03039,HG03040,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG03050,TRUE,SAMN37797108,Gambian in Western Division Ð Mandinka,GWD,TRUE,GB113,HG03048,HG03049,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02984,TRUE,SAMN37797107,Gambian in Western Division Ð Mandinka,GWD,TRUE,GB97,HG02982,HG02983,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02841,TRUE,SAMN37797106,Gambian in Western Division Ð Mandinka,GWD,TRUE,GB74,HG02839,HG02840,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG02583,TRUE,SAMN41021657,Gambian in Western Division Ð Mandinka,GWD,FALSE,GB23,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
NA20905,TRUE,SAMN33758801,"Gujarati Indians in Houston, Texas, USA",GIH,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
NA21102,TRUE,SAMN41021672,"Gujarati Indians in Houston, Texas, USA",GIH,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
NA20850,TRUE,SAMN41021664,"Gujarati Indians in Houston, Texas, USA",GIH,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
NA21110,TRUE,SAMN41021624,"Gujarati Indians in Houston, Texas, USA",GIH,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
NA20870,TRUE,SAMN41021623,"Gujarati Indians in Houston, Texas, USA",GIH,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
NA21144,TRUE,SAMN41021649,"Gujarati Indians in Houston, Texas, USA",GIH,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
NA21093,TRUE,SAMN41021627,"Gujarati Indians in Houston, Texas, USA",GIH,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
NA21106,TRUE,SAMN41021629,"Gujarati Indians in Houston, Texas, USA",GIH,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
NA18747,TRUE,SAMN33758797,"Han Chinese in Beijing, China",CHB,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
NA18570,TRUE,SAMN37797086,"Han Chinese in Beijing, China",CHB,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
NA18565,TRUE,SAMN41021669,"Han Chinese in Beijing, China",CHB,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
NA18608,TRUE,SAMN41021619,"Han Chinese in Beijing, China",CHB,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
NA18620,TRUE,SAMN41021618,"Han Chinese in Beijing, China",CHB,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG00673,TRUE,SAMN17861654,"Han Chinese South, China",CHS,TRUE,SH079,HG00671,HG00672,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG00438,TRUE,SAMN17861652,"Han Chinese South, China",CHS,TRUE,SH012,HG00436,HG00437,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG00621,TRUE,SAMN17861653,"Han Chinese South, China",CHS,TRUE,SH066,HG00619,HG00620,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG00609,TRUE,SAMN26237492,"Han Chinese South, China",CHS,TRUE,SH062,HG00607,HG00608,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG00706,TRUE,SAMN37706905,"Han Chinese South, China",CHS,TRUE,SH090,HG00704,HG00705,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG00544,TRUE,SAMN26237491,"Han Chinese South, China",CHS,TRUE,SH042,HG00542,HG00543,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG00423,TRUE,SAMN26237490,"Han Chinese South, China",CHS,TRUE,SH007,HG00421,HG00422,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG00597,TRUE,SAMN33621944,"Han Chinese South, China",CHS,TRUE,SH058,HG00595,HG00596,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG00408,TRUE,SAMN33621943,"Han Chinese South, China",CHS,TRUE,SH002,HG00406,HG00407,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG00558,TRUE,SAMN33758780,"Han Chinese South, China",CHS,TRUE,SH045,HG00556,HG00557,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG00658,TRUE,SAMN37797096,"Han Chinese South, China",CHS,TRUE,SH074,HG00656,HG00657,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG01784,TRUE,SAMN37797100,Iberian Populations in Spain,IBS,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG01530,TRUE,SAMN37797099,Iberian Populations in Spain,IBS,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG01786,TRUE,SAMN41021633,Iberian Populations in Spain,IBS,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG03742,TRUE,SAMN37797111,Indian Telugu in the UK,ITU,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG03874,TRUE,SAMN41021625,Indian Telugu in the UK,ITU,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG03784,TRUE,SAMN41021647,Indian Telugu in the UK,ITU,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
NA18971,TRUE,SAMN33621961,"Japanese in Tokyo, Japan",JPT,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
NA18983,TRUE,SAMN33758798,"Japanese in Tokyo, Japan",JPT,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
NA19087,TRUE,SAMN37797087,"Japanese in Tokyo, Japan",JPT,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
NA18976,TRUE,SAMN41021622,"Japanese in Tokyo, Japan",JPT,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
NA18952,TRUE,SAMN41021621,"Japanese in Tokyo, Japan",JPT,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
NA18974,TRUE,SAMN41021620,"Japanese in Tokyo, Japan",JPT,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02027,TRUE,SAMN26237503,"Kinh in Ho Chi Minh City, Vietnam",KHV,TRUE,VN050,HG02029,HG02028,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02083,TRUE,SAMN26237504,"Kinh in Ho Chi Minh City, Vietnam",KHV,TRUE,VN069,HG02085,HG02084,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02523,TRUE,SAMN26237506,"Kinh in Ho Chi Minh City, Vietnam",KHV,TRUE,VN090,HG02521,HG02522,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG02132,TRUE,SAMN26267382,"Kinh in Ho Chi Minh City, Vietnam",KHV,TRUE,VN080,HG02134,HG02133,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02074,TRUE,SAMN26267381,"Kinh in Ho Chi Minh City, Vietnam",KHV,TRUE,VN066,HG02076,HG02075,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02071,TRUE,SAMN26267380,"Kinh in Ho Chi Minh City, Vietnam",KHV,TRUE,VN065,HG02073,HG02072,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02135,TRUE,SAMN26267392,"Kinh in Ho Chi Minh City, Vietnam",KHV,TRUE,VN081,HG02137,HG02136,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02040,TRUE,SAMN33758784,"Kinh in Ho Chi Minh City, Vietnam",KHV,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02129,TRUE,SAMN33621950,"Kinh in Ho Chi Minh City, Vietnam",KHV,TRUE,VN079,HG02131,HG02130,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02056,TRUE,SAMN33621949,"Kinh in Ho Chi Minh City, Vietnam",KHV,TRUE,VN060,HG02058,HG02057,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02015,TRUE,SAMN33621948,"Kinh in Ho Chi Minh City, Vietnam",KHV,TRUE,VN046,HG02017,HG02016,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02514,TRUE,SAMN37797105,"Kinh in Ho Chi Minh City, Vietnam",KHV,TRUE,VN087,HG02512,HG02513,male,B-Lymphocyte,1000G,,,HPRC,NIH
NA19338,TRUE,SAMN37797091,"Luhya in Webuye, Kenya",LWK,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
NA19468,TRUE,SAMN37797093,"Luhya in Webuye, Kenya",LWK,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
NA19391,TRUE,SAMN37797092,"Luhya in Webuye, Kenya",LWK,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
NA19043,TRUE,SAMN33758799,"Luhya in Webuye, Kenya",LWK,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
NA19036,TRUE,SAMN41021642,"Luhya in Webuye, Kenya",LWK,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
NA19443,TRUE,SAMN41021640,"Luhya in Webuye, Kenya",LWK,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG03471,TRUE,SAMN17861669,Mende in Sierra Leone,MSL,FALSE,SL56i,HG03469,,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG03579,TRUE,SAMN17861671,Mende in Sierra Leone,MSL,TRUE,SL72,HG03577,HG03578,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG03453,TRUE,SAMN17861668,Mende in Sierra Leone,MSL,TRUE,SL50,HG03451,HG03452,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG03209,TRUE,SAMN33758793,Mende in Sierra Leone,MSL,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG03470,TRUE,SAMN37797110,Mende in Sierra Leone,MSL,FALSE,SL56,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG03225,TRUE,SAMN33621957,Mende in Sierra Leone,MSL,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG03583,TRUE,SAMN41021645,Mende in Sierra Leone,MSL,FALSE,SL73,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
NA19682,TRUE,SAMN41021611,"Mexican Ancestry in Los Angeles, California, USA",MXL,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
NA19776,TRUE,SAMN41021610,"Mexican Ancestry in Los Angeles, California, USA",MXL,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG01952,TRUE,SAMN17861661,"Peruvian in Lima, Peru",PEL,TRUE,PEL019,HG01950,HG01951,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02148,TRUE,SAMN17861663,"Peruvian in Lima, Peru",PEL,TRUE,PEL39,HG02146,HG02147,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG01928,TRUE,SAMN17861660,"Peruvian in Lima, Peru",PEL,TRUE,PEL011,HG01926,HG01927,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG01978,TRUE,SAMN17861662,"Peruvian in Lima, Peru",PEL,TRUE,PEL26,HG01977,HG01976,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG01993,TRUE,SAMN26237501,"Peruvian in Lima, Peru",PEL,TRUE,PEL29,HG01991,HG01992,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG02300,TRUE,SAMN26267395,"Peruvian in Lima, Peru",PEL,TRUE,PEL52,HG02299,HG02298,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG01981,TRUE,SAMN26237500,"Peruvian in Lima, Peru",PEL,TRUE,PEL27,HG01979,HG01980,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG02004,TRUE,SAMN26237502,"Peruvian in Lima, Peru",PEL,TRUE,PEL33,HG02002,HG02003,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG01943,TRUE,SAMN26237499,"Peruvian in Lima, Peru",PEL,TRUE,PEL016,HG01941,HG01942,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02293,TRUE,SAMN26267394,"Peruvian in Lima, Peru",PEL,TRUE,PEL51,HG02291,HG02292,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG01934,TRUE,SAMN26237498,"Peruvian in Lima, Peru",PEL,TRUE,PEL013,HG01932,HG01933,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG01975,TRUE,SAMN33621947,"Peruvian in Lima, Peru",PEL,TRUE,PEL25,HG01974,HG01973,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG02273,TRUE,SAMN33621953,"Peruvian in Lima, Peru",PEL,FALSE,PEL46,HG02271,HG02272,female,B-Lymphocyte,1000G,,"has trio data, but it was not included",HPRC,NIH
HG01969,TRUE,SAMN37797103,"Peruvian in Lima, Peru",PEL,TRUE,PEL023,HG01967,HG01968,female,B-Lymphocyte,1000G,,,HPRC,NIH
