sample_id,mat_num_contigs,mat_total_len,mat_AUN,mat_full_sgl,mat_full_dup,mat_perc_sgl,mat_switch,mat_hamming,mat_qv,pat_num_contigs,pat_total_len,pat_AUN,pat_full_sgl,pat_full_dup,pat_perc_sgl,pat_switch,pat_hamming,pat_qv
HG02135,71,3.0217,114.83,34770,120,0.985454031916396,0.006874,0.005351,57.90,152,2.9483,114.79,34770,107,0.9850868521395283,0.0046689999999999995,0.0041860000000000005,59.00
HG02074,77,3.0300,128.00,34712,143,0.9844654709786753,0.007419,0.006128,58.27,86,2.9342,115.89,34674,133,0.983109730264087,0.003229,0.002726,59.02
HG02071,81,3.0302,136.68,34632,222,0.9844372263804547,0.006914,0.006713,57.20,87,2.9216,144.15,34751,102,0.9844089817822341,0.0033539999999999998,0.002773,58.17
HG00706,65,3.0385,148.56,34765,131,0.9856234995057195,0.007303,0.006035,54.92,78,2.9314,148.43,34723,111,0.9838723344160429,0.003801,0.0035470000000000002,55.40
HG00438,56,3.0288,147.70,34739,149,0.9853975427199548,0.008461,0.008136,57.20,52,3.0291,154.69,34751,132,0.9852563197288519,0.008073,0.006873000000000001,56.44
HG00673,53,3.0210,145.21,34576,143,0.9806242056206751,0.008669,0.007405,56.05,63,2.9407,135.16,34529,301,0.9837593560231606,0.0023380000000000002,0.002086,57.44
HG01071,56,3.0230,148.26,34683,168,0.9843524925857929,0.007044,0.008705000000000001,57.77,51,3.0467,149.67,34703,142,0.9841830249964695,0.002182,0.0016439999999999998,57.57
HG01123,44,3.0215,137.09,34739,126,0.9847479169608813,0.004608,0.003878,52.87,63,3.0193,129.42,34697,148,0.9841830249964695,0.008949,0.009407,52.65
HG01358,62,3.0362,135.07,34699,103,0.982968507272984,0.010249999999999999,0.010358000000000001,56.51,70,2.9370,137.94,34703,146,0.9842960033893517,0.002837,0.002751,56.85
HG01361,59,3.0359,149.76,34705,129,0.9838723344160429,0.005968,0.005379,58.28,70,3.0243,148.97,34711,136,0.9842395141929106,0.007823,0.007863,56.09
HG01928,57,3.0373,154.43,34642,166,0.9831379748623076,0.005758,0.005233,56.76,58,2.9276,151.78,34708,121,0.98373111142494,0.003331,0.003088,56.58
HG01978,61,3.0351,139.03,34666,108,0.9821776585228075,0.007213000000000001,0.007619,58.04,77,3.0487,130.00,34772,119,0.9854822765146166,0.007451,0.006122,58.48
HG02257,66,3.0312,129.78,34673,137,0.9831944640587488,0.005272,0.004029,58.61,79,3.0442,131.19,34607,122,0.9809066516028809,0.005758999999999999,0.004937,58.86
HG02717,55,3.0448,138.82,34645,138,0.9824318599067928,0.003891,0.0035199999999999997,56.70,58,2.9464,136.73,34572,139,0.9803982488349103,0.0025679999999999995,0.002539,57.27
HG03516,54,3.0243,135.24,34606,145,0.9815280327637339,0.0045650000000000005,0.004154,57.93,54,3.0447,137.56,34667,120,0.9825448382996752,0.0064659999999999995,0.006735,57.97
HG03579,79,3.0371,136.45,34598,144,0.9812738313797487,0.004775,0.005183,57.81,67,2.9425,149.27,34603,131,0.9810478745939839,0.002647,0.001901,57.39
