sample_id,read_files_downsampled,number_of_read_files_downsampled,total_coverage_downsampled,number_of_cores_per_task_downsampled,mapper_preset,kmer_size,read_files,number_of_read_files,total_coverage,coverage,number_of_cores_per_task,instrument_model,hmm_flagger_window_size,hmm_flagger_alpha_tsv
HG01248,"['s3://human-pangenomics/working/HPRC/HG01248/raw_data/PacBio_HiFi/m84081_230624_210225_s2.hifi_reads.bc2016.bam', 's3://human-pangenomics/working/HPRC/HG01248/raw_data/PacBio_HiFi/m84081_230624_203119_s1.hifi_reads.bc2016.bam', 's3://human-pangenomics/working/HPRC/HG01248/raw_data/PacBio_HiFi/m84081_230628_183924_s1.hifi_reads.bc2016.bam']",3,60.7,21,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG01248/raw_data/PacBio_HiFi/m84081_230624_203119_s1.hifi_reads.bc2016.bam', 's3://human-pangenomics/working/HPRC/HG01248/raw_data/PacBio_HiFi/m84081_230624_210225_s2.hifi_reads.bc2016.bam', 's3://human-pangenomics/working/HPRC/HG01248/raw_data/PacBio_HiFi/m84081_230628_183924_s1.hifi_reads.bc2016.bam', 's3://human-pangenomics/working/HPRC/HG01248/raw_data/PacBio_HiFi/m84081_230628_190945_s2.hifi_reads.bc2016.bam']",4,62.0,"[28.8, 30.6, 1.3, 1.3]",16,"['Revio', 'Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG01252,"['s3://human-pangenomics/working/HPRC/HG01252/raw_data/PacBio_HiFi/m84091_230905_205913_s4.hifi_reads.bc1020.bam', 's3://human-pangenomics/working/HPRC/HG01252/raw_data/PacBio_HiFi/primrose/m54306Ue_220419_182803.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01252/raw_data/PacBio_HiFi/primrose/m64330e_220306_155049.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01252/raw_data/PacBio_HiFi/primrose/m64330e_220414_054422.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01252/raw_data/PacBio_HiFi/primrose/m54306Ue_220228_165421.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01252/raw_data/PacBio_HiFi/primrose/m64334e_220419_183840.5mc.hifi_reads.bam']",6,54.2,10,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG01252/raw_data/PacBio_HiFi/primrose/m54306Ue_220228_165421.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01252/raw_data/PacBio_HiFi/primrose/m54306Ue_220419_182803.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01252/raw_data/PacBio_HiFi/primrose/m64330e_220306_155049.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01252/raw_data/PacBio_HiFi/primrose/m64330e_220414_054422.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01252/raw_data/PacBio_HiFi/primrose/m64334e_220419_183840.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01252/raw_data/PacBio_HiFi/m84091_230905_205913_s4.hifi_reads.bc1020.bam']",6,54.2,"[7.2, 8.1, 7.5, 7.5, 7.2, 16.7]",10,"['Sequel II', 'Sequel II', 'Sequel II', 'Sequel II', 'Sequel II', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG01255,"['s3://human-pangenomics/working/HPRC/HG01255/raw_data/PacBio_HiFi/m84081_231105_024654_s3.hifi_reads.default.bam', 's3://human-pangenomics/working/HPRC/HG01255/raw_data/PacBio_HiFi/m64136_210516_022225.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01255/raw_data/PacBio_HiFi/m64043_210520_180149.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01255/raw_data/PacBio_HiFi/m64136_210519_033858.hifi_reads.bam']",4,67.0,16,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG01255/raw_data/PacBio_HiFi/m64043_210520_180149.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01255/raw_data/PacBio_HiFi/m64136_210516_022225.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01255/raw_data/PacBio_HiFi/m64136_210519_033858.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01255/raw_data/PacBio_HiFi/m84081_231105_024654_s3.hifi_reads.default.bam']",4,67.0,"[10.7, 11.3, 10.5, 34.5]",16,"['Sequel II', 'Sequel II', 'Sequel II', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG01258,"['s3://human-pangenomics/working/HPRC/HG01258/raw_data/PacBio_HiFi/m84046_231202_090949_s3.hifi_reads.bc2054.bam', 's3://human-pangenomics/working/HPRC/HG01258/raw_data/PacBio_HiFi_Swap_Fixed/m64076_200308_194406.ccs.bam', 's3://human-pangenomics/working/HPRC/HG01258/raw_data/PacBio_HiFi_Swap_Fixed/m64076_200311_082315.ccs.bam', 's3://human-pangenomics/working/HPRC/HG01258/raw_data/PacBio_HiFi_Swap_Fixed/m64076_200310_015720.ccs.bam', 's3://human-pangenomics/working/HPRC/HG01258/raw_data/PacBio_HiFi_Swap_Fixed/m64076_200306_185917.ccs.bam']",5,52.1,12,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG01258/raw_data/PacBio_HiFi_Swap_Fixed/m64076_200306_185917.ccs.bam', 's3://human-pangenomics/working/HPRC/HG01258/raw_data/PacBio_HiFi_Swap_Fixed/m64076_200308_194406.ccs.bam', 's3://human-pangenomics/working/HPRC/HG01258/raw_data/PacBio_HiFi_Swap_Fixed/m64076_200310_015720.ccs.bam', 's3://human-pangenomics/working/HPRC/HG01258/raw_data/PacBio_HiFi_Swap_Fixed/m64076_200311_082315.ccs.bam', 's3://human-pangenomics/working/HPRC/HG01258/raw_data/PacBio_HiFi/m84046_231202_090949_s3.hifi_reads.bc2054.bam']",5,52.099999999999994,"[8.4, 9.5, 8.6, 9.4, 16.2]",12,"['Sequel II', 'Sequel II', 'Sequel II', 'Sequel II', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG01261,"['s3://human-pangenomics/working/HPRC/HG01261/raw_data/PacBio_HiFi/m84081_230721_192906_s4.hifi_reads.bc2024.bam', 's3://human-pangenomics/working/HPRC/HG01261/raw_data/PacBio_HiFi/m84081_230721_185800_s3.hifi_reads.bc2024.bam', 's3://human-pangenomics/working/HPRC/HG01261/raw_data/PacBio_HiFi/m64136_211108_160613-bc1001.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01261/raw_data/PacBio_HiFi/m64136_211107_050725-bc1001.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01261/raw_data/PacBio_HiFi/m64136_211105_181124-bc1001.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01261/raw_data/PacBio_HiFi/m64043_211222_184851-bc1001.5mc.hifi_reads.bam']",6,61.1,10,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG01261/raw_data/PacBio_HiFi/m64043_211222_184851-bc1001.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01261/raw_data/PacBio_HiFi/m64136_211108_160613-bc1001.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01261/raw_data/PacBio_HiFi/m64136_211105_181124-bc1001.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01261/raw_data/PacBio_HiFi/m64136_211107_050725-bc1001.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01261/raw_data/PacBio_HiFi/m84081_230721_185800_s3.hifi_reads.bc2024.bam', 's3://human-pangenomics/working/HPRC/HG01261/raw_data/PacBio_HiFi/m84081_230721_192906_s4.hifi_reads.bc2024.bam']",6,61.1,"[4.5, 10.5, 9.7, 10.4, 12.9, 13.1]",10,"['Sequel II', 'Sequel II', 'Sequel II', 'Sequel II', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG01346,"['s3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_HiFi/m84046_230720_182350_s1.hifi_reads.bc2005.bam', 's3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_HiFi/m54329U_210624_221223.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_HiFi/m54329U_210629_024631.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_HiFi/m64076_210621_234241.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_HiFi/m64076_210526_105450.hifi_reads.bam']",5,62.6,12,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_HiFi/m54329U_210624_221223.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_HiFi/m64076_210526_105450.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_HiFi/m54329U_210629_024631.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_HiFi/m64076_210621_234241.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_HiFi/m84046_230720_182350_s1.hifi_reads.bc2005.bam']",5,62.6,"[11.7, 6.2, 11.7, 11.4, 21.6]",12,"['Sequel II', 'Sequel II', 'Sequel II', 'Sequel II', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG01358,"['s3://human-pangenomics/working/HPRC/HG01358/raw_data/PacBio_HiFi/m64076_200203_181219.ccs.bam', 's3://human-pangenomics/working/HPRC/HG01358/raw_data/PacBio_HiFi/m64076_200201_051547.ccs.bam', 's3://human-pangenomics/working/HPRC/HG01358/raw_data/PacBio_HiFi/m64076_200206_215943.ccs.bam', 's3://human-pangenomics/working/HPRC/HG01358/raw_data/PacBio_HiFi/m64076_200208_041234.ccs.bam', 's3://human-pangenomics/working/HPRC/HG01358/raw_data/PacBio_HiFi/m84046_231202_071034_s1.hifi_reads.bc2053.bam', 's3://human-pangenomics/working/HPRC/HG01358/raw_data/PacBio_HiFi/m84046_231202_110908_s4.hifi_reads.bc2053.bam']",6,52.7,10,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG01358/raw_data/PacBio_HiFi/m64076_200201_051547.ccs.bam', 's3://human-pangenomics/working/HPRC/HG01358/raw_data/PacBio_HiFi/m64076_200203_181219.ccs.bam', 's3://human-pangenomics/working/HPRC/HG01358/raw_data/PacBio_HiFi/m64076_200206_215943.ccs.bam', 's3://human-pangenomics/working/HPRC/HG01358/raw_data/PacBio_HiFi/m64076_200208_041234.ccs.bam', 's3://human-pangenomics/working/HPRC/HG01358/raw_data/PacBio_HiFi/m84046_231202_071034_s1.hifi_reads.bc2053.bam', 's3://human-pangenomics/working/HPRC/HG01358/raw_data/PacBio_HiFi/m84046_231202_110908_s4.hifi_reads.bc2053.bam']",6,52.699999999999996,"[9.7, 10.5, 9.1, 8.4, 7.7, 7.3]",10,"['Sequel II', 'Sequel II', 'Sequel II', 'Sequel II', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG01361,"['s3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi/m84046_231202_071034_s1.hifi_reads.bc2052.bam', 's3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi/m84046_230724_203319_s4.hifi_reads.bc2056.bam', 's3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi_Swap_Fixed/m54329U_200306_185930.ccs.bam', 's3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi_Swap_Fixed/m54329U_200308_194417.ccs.bam', 's3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi_Swap_Fixed/m54329U_200310_015838.ccs.bam']",5,68.6,12,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi_Swap_Fixed/m54329U_200306_185930.ccs.bam', 's3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi_Swap_Fixed/m64076_200221_234426.ccs.bam', 's3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi_Swap_Fixed/m54329U_200308_194417.ccs.bam', 's3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi_Swap_Fixed/m54329U_200310_015838.ccs.bam', 's3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi_Swap_Fixed/m54329U_200311_082605.ccs.bam', 's3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi/m84046_230724_203319_s4.hifi_reads.bc2056.bam', 's3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi/m84046_231202_071034_s1.hifi_reads.bc2052.bam']",7,79.9,"[10.7, 2.2, 10.7, 9.2, 9.1, 13.6, 24.4]",9,"['Sequel II', 'Sequel II', 'Sequel II', 'Sequel II', 'Sequel II', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG01433,"['s3://human-pangenomics/working/HPRC/HG01433/raw_data/PacBio_HiFi/m84081_230727_193748_s2.hifi_reads.default.bam', 's3://human-pangenomics/working/HPRC/HG01433/raw_data/PacBio_HiFi/m84081_230727_190726_s1.hifi_reads.default.bam', 's3://human-pangenomics/working/HPRC/HG01433/raw_data/PacBio_HiFi/m64136_210604_175856.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01433/raw_data/PacBio_HiFi/m64136_210607_115559.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01433/raw_data/PacBio_HiFi/m64136_210606_025622.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01433/raw_data/PacBio_HiFi/m64136_210610_203618.hifi_reads.bam']",6,63.2,10,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG01433/raw_data/PacBio_HiFi/m64136_210604_175856.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01433/raw_data/PacBio_HiFi/m64136_210606_025622.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01433/raw_data/PacBio_HiFi/m64136_210607_115559.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01433/raw_data/PacBio_HiFi/m64136_210610_203618.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01433/raw_data/PacBio_HiFi/m84081_230727_190726_s1.hifi_reads.default.bam', 's3://human-pangenomics/working/HPRC/HG01433/raw_data/PacBio_HiFi/m84081_230727_193748_s2.hifi_reads.default.bam']",6,63.2,"[10.8, 8.0, 10.0, 7.5, 13.2, 13.7]",10,"['Sequel II', 'Sequel II', 'Sequel II', 'Sequel II', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG01496,"['s3://human-pangenomics/working/HPRC/HG01496/raw_data/PacBio_HiFi/m84081_231112_030942_s3.hifi_reads.bc2080.bam', 's3://human-pangenomics/working/HPRC/HG01496/raw_data/PacBio_HiFi/m64043_210625_184443.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01496/raw_data/PacBio_HiFi/m64043_210628_151651.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01496/raw_data/PacBio_HiFi/m64043_210627_054642.hifi_reads.bam']",4,57.7,16,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG01496/raw_data/PacBio_HiFi/m64043_210625_184443.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01496/raw_data/PacBio_HiFi/m64043_210627_054642.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01496/raw_data/PacBio_HiFi/m64043_210628_151651.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01496/raw_data/PacBio_HiFi/m84081_231112_030942_s3.hifi_reads.bc2080.bam']",4,57.699999999999996,"[11.9, 10.2, 11.2, 24.4]",16,"['Sequel II', 'Sequel II', 'Sequel II', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG01530,"['s3://human-pangenomics/working/HPRC/HG01530/raw_data/PacBio_HiFi/primrose/m64055e_220915_170505.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01530/raw_data/PacBio_HiFi/primrose/m64334e_220922_131140.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01530/raw_data/PacBio_HiFi/primrose/m64334e_220920_180418.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01530/raw_data/PacBio_HiFi/m84091_231208_194716_s4.hifi_reads.bc1021.bam', 's3://human-pangenomics/working/HPRC/HG01530/raw_data/PacBio_HiFi/m84091_231208_201822_s1.hifi_reads.bc1021.bam', 's3://human-pangenomics/working/HPRC/HG01530/raw_data/PacBio_HiFi/m84091_231208_204928_s2.hifi_reads.bc1021.bam']",6,54.72,10,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG01530/raw_data/PacBio_HiFi/primrose/m64055e_220915_170505.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01530/raw_data/PacBio_HiFi/primrose/m64334e_220920_180418.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01530/raw_data/PacBio_HiFi/primrose/m64334e_220922_131140.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01530/raw_data/PacBio_HiFi/m84091_231208_194716_s4.hifi_reads.bc1021.bam', 's3://human-pangenomics/working/HPRC/HG01530/raw_data/PacBio_HiFi/m84091_231208_201822_s1.hifi_reads.bc1021.bam', 's3://human-pangenomics/working/HPRC/HG01530/raw_data/PacBio_HiFi/m84091_231208_204928_s2.hifi_reads.bc1021.bam']",6,54.71999999999999,"[15.2, 14.1, 14.8, 4.74, 3.12, 2.76]",10,"['Sequel II', 'Sequel II', 'Sequel II', 'Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG01626,"['s3://human-pangenomics/working/HPRC/HG01626/raw_data/PacBio_HiFi/m84091_230725_153931_s1.hifi_reads.bc1010.bam', 's3://human-pangenomics/working/HPRC/HG01626/raw_data/PacBio_HiFi/m84091_230731_130312_s1.hifi_reads.bc1010.bam', 's3://human-pangenomics/working/HPRC/HG01626/raw_data/PacBio_HiFi/m84091_230817_153352_s4.hifi_reads.bc1010.bam']",3,63.6,21,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG01626/raw_data/PacBio_HiFi/m84091_230725_153931_s1.hifi_reads.bc1010.bam', 's3://human-pangenomics/working/HPRC/HG01626/raw_data/PacBio_HiFi/m84091_230731_130312_s1.hifi_reads.bc1010.bam', 's3://human-pangenomics/working/HPRC/HG01626/raw_data/PacBio_HiFi/m84091_230817_153352_s4.hifi_reads.bc1010.bam']",3,63.6,"[34.6, 25.1, 3.9]",21,"['Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG01766,"['s3://human-pangenomics/working/HPRC/HG01766/raw_data/PacBio_HiFi/m84046_230722_183401_s4.hifi_reads.bc2090.bam', 's3://human-pangenomics/working/HPRC/HG01766/raw_data/PacBio_HiFi/m84046_230722_180255_s3.hifi_reads.bc2090.bam', 's3://human-pangenomics/working/HPRC/HG01766/raw_data/PacBio_HiFi/m84046_230721_192545_s2.hifi_reads.bc2090.bam', 's3://human-pangenomics/working/HPRC/HG01766/raw_data/PacBio_HiFi/m84046_230728_232723_s1.hifi_reads.bc2090.bam']",4,63.0,16,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG01766/raw_data/PacBio_HiFi/m84046_230722_180255_s3.hifi_reads.bc2090.bam', 's3://human-pangenomics/working/HPRC/HG01766/raw_data/PacBio_HiFi/m84046_230728_232723_s1.hifi_reads.bc2090.bam', 's3://human-pangenomics/working/HPRC/HG01766/raw_data/PacBio_HiFi/m84046_230722_183401_s4.hifi_reads.bc2090.bam', 's3://human-pangenomics/working/HPRC/HG01766/raw_data/PacBio_HiFi/m84046_230721_192545_s2.hifi_reads.bc2090.bam']",4,63.00000000000001,"[18.2, 8.9, 18.8, 17.1]",16,"['Revio', 'Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG01784,"['s3://human-pangenomics/working/HPRC/HG01784/raw_data/PacBio_HiFi/m84091_231120_182829_s1.hifi_reads.bc1019.bam', 's3://human-pangenomics/working/HPRC/HG01784/raw_data/PacBio_HiFi/primrose/m64055e_220922_130045.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01784/raw_data/PacBio_HiFi/primrose/m64330e_220917_122517.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01784/raw_data/PacBio_HiFi/primrose/m64055e_220920_175231.5mc.hifi_reads.bam']",4,59.94,16,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG01784/raw_data/PacBio_HiFi/primrose/m64055e_220920_175231.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01784/raw_data/PacBio_HiFi/primrose/m64055e_220922_130045.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01784/raw_data/PacBio_HiFi/primrose/m64330e_220917_122517.5mc.hifi_reads.bam', 's3://human-pangenomics/working/HPRC/HG01784/raw_data/PacBio_HiFi/m84091_231120_182829_s1.hifi_reads.bc1019.bam']",4,59.94,"[12.4, 13.4, 13.1, 21.04]",16,"['Sequel II', 'Sequel II', 'Sequel II', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG01785,"['s3://human-pangenomics/working/HPRC/HG01785/raw_data/PacBio_HiFi/m84081_231027_205726_s4.hifi_reads.bc2068.bam', 's3://human-pangenomics/working/HPRC/HG01785/raw_data/PacBio_HiFi/m84081_231029_030755_s4.hifi_reads.bc2068.bam', 's3://human-pangenomics/working/HPRC/HG01785/raw_data/PacBio_HiFi/m84081_231124_031433_s4.hifi_reads.bc2068.bam', 's3://human-pangenomics/working/HPRC/HG01785/raw_data/PacBio_HiFi/m84081_231122_210358_s4.hifi_reads.bc2068.bam']",4,68.1,16,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG01785/raw_data/PacBio_HiFi/m84081_231027_205726_s4.hifi_reads.bc2068.bam', 's3://human-pangenomics/working/HPRC/HG01785/raw_data/PacBio_HiFi/m84081_231029_030755_s4.hifi_reads.bc2068.bam', 's3://human-pangenomics/working/HPRC/HG01785/raw_data/PacBio_HiFi/m84081_231122_210358_s4.hifi_reads.bc2068.bam', 's3://human-pangenomics/working/HPRC/HG01785/raw_data/PacBio_HiFi/m84081_231124_031433_s4.hifi_reads.bc2068.bam']",4,68.1,"[22.3, 20.2, 12.1, 13.5]",16,"['Revio', 'Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG01786,"['s3://human-pangenomics/working/HPRC/HG01786/raw_data/PacBio_HiFi/m84081_230616_175717_s2.hifi_reads.bc2012.bam', 's3://human-pangenomics/working/HPRC/HG01786/raw_data/PacBio_HiFi/m84081_230616_172650_s1.hifi_reads.bc2012.bam']",2,73.6,32,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG01786/raw_data/PacBio_HiFi/m84081_230616_172650_s1.hifi_reads.bc2012.bam', 's3://human-pangenomics/working/HPRC/HG01786/raw_data/PacBio_HiFi/m84081_230616_175717_s2.hifi_reads.bc2012.bam']",2,73.6,"[36.5, 37.1]",32,"['Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG01798,"['s3://human-pangenomics/working/HPRC/HG01798/raw_data/PacBio_HiFi/m84081_231209_031410_s3.hifi_reads.bc2002.bam', 's3://human-pangenomics/working/HPRC/HG01798/raw_data/PacBio_HiFi/m84081_231209_034516_s4.hifi_reads.bc2002.bam']",2,80.8,32,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG01798/raw_data/PacBio_HiFi/m84081_231209_031410_s3.hifi_reads.bc2002.bam', 's3://human-pangenomics/working/HPRC/HG01798/raw_data/PacBio_HiFi/m84081_231209_034516_s4.hifi_reads.bc2002.bam']",2,80.8,"[42.4, 38.4]",32,"['Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
